home_team,away_team,commence_time,n_bookmakers,p_home,p_draw,p_away,overround,closeness
Mexico,South Africa,2026-06-11T19:00:00Z,42,0.643253535585145,0.22544255367868976,0.13130391073616518,0.05379394629137413,0.8066831362395448
South Korea,Czech Republic,2026-06-12T02:00:00Z,42,0.3535143299899776,0.2985969068695835,0.34788876314043893,0.055593647731569495,0.9974617983676219
Canada,Bosnia & Herzegovina,2026-06-12T19:00:00Z,43,0.5199690006808263,0.2632920202995387,0.2167389790196351,0.05467717907997249,0.9310115130922966
USA,Paraguay,2026-06-13T01:00:00Z,43,0.4761113678687317,0.2721864440223209,0.25170218810894734,0.0564393941232475,0.9600627793859061
Qatar,Switzerland,2026-06-13T19:00:00Z,43,0.08823199754826748,0.16937506990177204,0.7423929325499605,0.055216068707531596,0.670026150228556
Brazil,Morocco,2026-06-13T22:00:00Z,43,0.5864466549937726,0.24196586882214818,0.17158747618407935,0.055918089161888895,0.8727022058835693
Haiti,Scotland,2026-06-14T01:00:00Z,43,0.1312833781709722,0.20303872193271372,0.6656778998963142,0.05479760415815704,0.7838717264475732
Australia,Turkey,2026-06-14T04:00:00Z,40,0.21067165428736617,0.26481024442965817,0.5245181012829756,0.05711776903311483,0.9270190720176102
Germany,Curaçao,2026-06-14T17:00:00Z,37,0.9261708245322885,0.054711176720606707,0.019117998747104754,0.0444296406404292,0.2782237410495119
Netherlands,Japan,2026-06-14T20:00:00Z,41,0.47628311723457323,0.2623181213149226,0.2613987614505042,0.05714420767425743,0.9603331966146872
Ivory Coast,Ecuador,2026-06-14T23:00:00Z,40,0.2678478558194909,0.31688096922823705,0.415271174952272,0.05420380586994522,0.9848465937826233
Sweden,Tunisia,2026-06-15T02:00:00Z,40,0.4876717327725951,0.2820248393561331,0.2303034278712717,0.05576506412197846,0.95151574087613
Spain,Cape Verde,2026-06-15T16:00:00Z,39,0.8760132156128039,0.09004158200119992,0.03394520238599629,0.04826645406837482,0.40739757812860833
Belgium,Egypt,2026-06-15T19:00:00Z,40,0.5681323173991291,0.24075117015826566,0.19111651244260533,0.05603920623024328,0.8923289053161562
Saudi Arabia,Uruguay,2026-06-15T22:00:00Z,42,0.14661320592849847,0.2248295463625692,0.6285572477089322,0.05493667984392392,0.8273040771552523
Iran,New Zealand,2026-06-16T01:00:00Z,37,0.5065622077623214,0.27330816558854515,0.22012962664913344,0.055663746908807266,0.9395625182202947
France,Senegal,2026-06-16T19:00:00Z,39,0.654197293796388,0.21126096404303626,0.13454174216057568,0.057004313926964034,0.7972968356585639
Iraq,Norway,2026-06-16T22:00:00Z,39,0.08063852472684362,0.15209143110220802,0.7672700441709484,0.054117827330107726,0.6305429011823727
Argentina,Algeria,2026-06-17T01:00:00Z,42,0.6754669028227119,0.21059031022415176,0.11394278695313627,0.05406361028498585,0.765125963356679
Austria,Jordan,2026-06-17T04:00:00Z,39,0.7105460123583158,0.17988331622459014,0.10957067141709415,0.05471497599655217,0.7224298025551159
Portugal,DR Congo,2026-06-17T17:00:00Z,39,0.7492260406717617,0.1624652789065582,0.08830868042168001,0.056284833862064065,0.6607216920574163
England,Croatia,2026-06-17T20:00:00Z,39,0.5464638854713998,0.2534184132350577,0.20011770129354248,0.05480249369640111,0.910285804715173
Ghana,Panama,2026-06-17T23:00:00Z,40,0.469358349398182,0.2712213793568352,0.25942027124498285,0.05486731336961448,0.9638975657692735
Uzbekistan,Colombia,2026-06-18T02:00:00Z,38,0.11918499202015581,0.20773755538332384,0.6730774525965205,0.05626002696924637,0.770462070772218
Czech Republic,South Africa,2026-06-18T16:00:00Z,35,0.46629809552115864,0.29574808458542406,0.23795381989341735,0.05985994731165212,0.962734900772063
Switzerland,Bosnia & Herzegovina,2026-06-18T19:00:00Z,36,0.6059795378427127,0.23448590583004622,0.1595345563272411,0.06542228405645245,0.8523975357822409
Canada,Qatar,2026-06-18T22:00:00Z,37,0.6864054013321117,0.20345057697456828,0.11014402169332004,0.061102455311987214,0.7511478446932925
Mexico,South Korea,2026-06-19T01:00:00Z,35,0.5196874594712428,0.27389751774761634,0.20641502278114077,0.0632802528795482,0.9289380936839551
USA,Australia,2026-06-19T19:00:00Z,37,0.5406783163821635,0.25833934800086344,0.20098233561697304,0.0702620823672313,0.9144454911967269
Scotland,Morocco,2026-06-19T22:00:00Z,37,0.24925773002858426,0.29589263604739957,0.4548496339240162,0.06584858471142718,0.9693472649828603
Brazil,Haiti,2026-06-20T01:00:00Z,33,0.9022651994600188,0.07304651684641399,0.024688283693567247,0.05159897794458068,0.34162621609702776
Turkey,Paraguay,2026-06-20T03:00:00Z,33,0.41972004908730287,0.30164702002231975,0.2786329308903773,0.06305888686433692,0.9848464366238067
Netherlands,Sweden,2026-06-20T17:00:00Z,35,0.5674881002407284,0.24402199037458724,0.18848990938468424,0.06520383530004104,0.8922434068419883
Germany,Ivory Coast,2026-06-20T20:00:00Z,35,0.6096030008872192,0.22382141100476724,0.16657558810801354,0.06500492539251534,0.8513609739041146
Ecuador,Curaçao,2026-06-21T00:00:00Z,37,0.7621264346688921,0.16166425414717397,0.07620931118393406,0.061398667874938306,0.6351646333335227
Tunisia,Japan,2026-06-21T04:00:00Z,35,0.2063945122249603,0.2831516290618667,0.510453858713173,0.06238661924877742,0.9341000177141867
Spain,Saudi Arabia,2026-06-21T16:00:00Z,36,0.8543677467163934,0.10587105525040642,0.039761198033200155,0.05552159556624936,0.45551412745958164
Belgium,Iran,2026-06-21T19:00:00Z,36,0.660997075836671,0.2113077565112234,0.1276951676521056,0.0637339039813527,0.7872954340641494
Uruguay,Cape Verde,2026-06-21T22:00:00Z,37,0.6533966521117216,0.21454996530407783,0.13205338258420063,0.06743006512218419,0.7970538613210656
New Zealand,Egypt,2026-06-22T01:00:00Z,33,0.19384578942130873,0.25780750736997454,0.5483467032087167,0.06120443386805485,0.9074930171798969
Argentina,Austria,2026-06-22T17:00:00Z,35,0.5711940517420082,0.2527904783812855,0.17601546987670638,0.06454391764835465,0.8859275125000925
France,Iraq,2026-06-22T21:00:00Z,35,0.8453445907015865,0.11399242513841093,0.040662984160002524,0.05485946799855301,0.47313906176235854
Norway,Senegal,2026-06-23T00:00:00Z,35,0.449558089773376,0.27885864215596745,0.27158326807065647,0.06401848302992974,0.9735362766185183
Jordan,Algeria,2026-06-23T03:00:00Z,37,0.1791288177333712,0.24834349666321331,0.5725276856034155,0.0644983646534325,0.8859016500337069
Portugal,Uzbekistan,2026-06-23T17:00:00Z,37,0.780376966659271,0.14831008548040953,0.0713129478603195,0.059981739041709004,0.605193793141346
England,Ghana,2026-06-23T20:00:00Z,37,0.7141745052222507,0.18337726287572273,0.10244823190202662,0.06272956178709643,0.7144241933315857
Panama,Croatia,2026-06-23T23:00:00Z,37,0.14077720596255214,0.2333208947119593,0.6259018993254886,0.06493776245802318,0.8272613519351831
Colombia,DR Congo,2026-06-24T02:00:00Z,35,0.6283836753935859,0.23520830733308892,0.1364080172733252,0.05790038389782093,0.8229491137887812
Bosnia & Herzegovina,Qatar,2026-06-24T19:00:00Z,32,0.5499507294609177,0.26236137334777065,0.18768789719131157,0.06981119210991626,0.9046642994229948
Switzerland,Canada,2026-06-24T19:00:00Z,33,0.4590842483462938,0.2846491120720678,0.2562666395816383,0.06555338016518952,0.9684804209972733
Scotland,Brazil,2026-06-24T22:00:00Z,28,0.12135066754084878,0.19699640691376052,0.6816529255453908,0.07474156589965286,0.7620564601600168
Morocco,Haiti,2026-06-24T22:00:00Z,29,0.7084548938726489,0.18477021471859265,0.10677489140875843,0.07017389702273857,0.7236875732516449
South Africa,South Korea,2026-06-25T01:00:00Z,27,0.2653344323544163,0.2860608523720809,0.44860471527350276,0.07476101059015239,0.9736495307284996
Czech Republic,Mexico,2026-06-25T01:00:00Z,27,0.24674254526551737,0.2834307018769605,0.46982675285752207,0.08042849861277857,0.9626170172651494
Curaçao,Ivory Coast,2026-06-25T20:00:00Z,26,0.10030080434290288,0.18405785446057585,0.7156413411965213,0.07520118718167268,0.7114477822386777
Ecuador,Germany,2026-06-25T20:00:00Z,27,0.18904713954276658,0.24678521705769604,0.5641676433995375,0.0754632601359948,0.8949013779760656
Japan,Sweden,2026-06-25T23:00:00Z,27,0.4569385181799715,0.2775752155086177,0.26548626631141076,0.07767485391959683,0.9700610309490458
Tunisia,Netherlands,2026-06-25T23:00:00Z,25,0.15732181354831196,0.23351396831000318,0.6091642181416849,0.07349821189833117,0.8488460651185701
Paraguay,Australia,2026-06-26T02:00:00Z,27,0.4323114425035614,0.29201927664800104,0.27566928084843756,0.07736715935711436,0.9805203850697061
Turkey,USA,2026-06-26T02:00:00Z,25,0.34584887057072417,0.2791752122710331,0.3749759171582426,0.07360625339339055,0.99327277437497
Senegal,Iraq,2026-06-26T19:00:00Z,27,0.6226511938281983,0.2292155639236271,0.1481332422481745,0.07387226122069612,0.8333513543822001
Norway,France,2026-06-26T19:00:00Z,25,0.19248516331787902,0.2547696637626599,0.5527451729194611,0.07126476583332075,0.9040815926006152
Uruguay,Spain,2026-06-27T00:00:00Z,27,0.18344532165764657,0.23933594273018258,0.5772187356121709,0.07778867400832357,0.8834038776424702
Cape Verde,Saudi Arabia,2026-06-27T00:00:00Z,27,0.33471566956526605,0.28619843744379847,0.3790858929909356,0.07168167337365983,0.9940743100832174
New Zealand,Belgium,2026-06-27T03:00:00Z,24,0.09657009927942489,0.16403814223767949,0.7393917584828956,0.07302850031756125,0.6785819450862292
Egypt,Iran,2026-06-27T03:00:00Z,25,0.38967062793903884,0.31192396917744786,0.29840540288351336,0.07106422841817239,0.9935250984928329
Croatia,Ghana,2026-06-27T21:00:00Z,27,0.5421329005144228,0.2592906814450882,0.19857641804048912,0.07450455652462828,0.9129012987531175
Panama,England,2026-06-27T21:00:00Z,27,0.0780333562283418,0.14633243431854462,0.7756342094531137,0.07505321992240654,0.6165365018763684
Colombia,Portugal,2026-06-27T23:30:00Z,26,0.275348001957514,0.2853624243450931,0.43928957369739274,0.07241297115669632,0.9778908132968446
DR Congo,Uzbekistan,2026-06-27T23:30:00Z,28,0.37555294458059524,0.2918582883597766,0.33258876705962814,0.07492403919447987,0.9952095704667657
Algeria,Austria,2026-06-28T02:00:00Z,25,0.2677557606061063,0.2881104939525531,0.44413374544134065,0.07258670638984266,0.9756093484828401
Jordan,Argentina,2026-06-28T02:00:00Z,27,0.06985294026704209,0.1302562977716303,0.7998907619613276,0.07601559161998805,0.5734496159709885
