country,opponent,commence_time,venue,p_win,closeness
Mexico,South Africa,2026-06-11T19:00:00Z,home,0.643253535585145,0.8066831362395448
South Africa,Mexico,2026-06-11T19:00:00Z,away,0.13130391073616518,0.8066831362395448
Czech Republic,South Korea,2026-06-12T02:00:00Z,away,0.34788876314043893,0.9974617983676219
South Korea,Czech Republic,2026-06-12T02:00:00Z,home,0.3535143299899776,0.9974617983676219
Bosnia & Herzegovina,Canada,2026-06-12T19:00:00Z,away,0.2167389790196351,0.9310115130922966
Canada,Bosnia & Herzegovina,2026-06-12T19:00:00Z,home,0.5199690006808263,0.9310115130922966
Paraguay,USA,2026-06-13T01:00:00Z,away,0.25170218810894734,0.9600627793859061
USA,Paraguay,2026-06-13T01:00:00Z,home,0.4761113678687317,0.9600627793859061
Qatar,Switzerland,2026-06-13T19:00:00Z,home,0.08823199754826748,0.670026150228556
Switzerland,Qatar,2026-06-13T19:00:00Z,away,0.7423929325499605,0.670026150228556
Brazil,Morocco,2026-06-13T22:00:00Z,home,0.5864466549937726,0.8727022058835693
Morocco,Brazil,2026-06-13T22:00:00Z,away,0.17158747618407935,0.8727022058835693
Haiti,Scotland,2026-06-14T01:00:00Z,home,0.1312833781709722,0.7838717264475732
Scotland,Haiti,2026-06-14T01:00:00Z,away,0.6656778998963142,0.7838717264475732
Australia,Turkey,2026-06-14T04:00:00Z,home,0.21067165428736617,0.9270190720176102
Turkey,Australia,2026-06-14T04:00:00Z,away,0.5245181012829756,0.9270190720176102
Curaçao,Germany,2026-06-14T17:00:00Z,away,0.019117998747104754,0.2782237410495119
Germany,Curaçao,2026-06-14T17:00:00Z,home,0.9261708245322885,0.2782237410495119
Japan,Netherlands,2026-06-14T20:00:00Z,away,0.2613987614505042,0.9603331966146872
Netherlands,Japan,2026-06-14T20:00:00Z,home,0.47628311723457323,0.9603331966146872
Ecuador,Ivory Coast,2026-06-14T23:00:00Z,away,0.415271174952272,0.9848465937826233
Ivory Coast,Ecuador,2026-06-14T23:00:00Z,home,0.2678478558194909,0.9848465937826233
Sweden,Tunisia,2026-06-15T02:00:00Z,home,0.4876717327725951,0.95151574087613
Tunisia,Sweden,2026-06-15T02:00:00Z,away,0.2303034278712717,0.95151574087613
Cape Verde,Spain,2026-06-15T16:00:00Z,away,0.03394520238599629,0.40739757812860833
Spain,Cape Verde,2026-06-15T16:00:00Z,home,0.8760132156128039,0.40739757812860833
Belgium,Egypt,2026-06-15T19:00:00Z,home,0.5681323173991291,0.8923289053161562
Egypt,Belgium,2026-06-15T19:00:00Z,away,0.19111651244260533,0.8923289053161562
Saudi Arabia,Uruguay,2026-06-15T22:00:00Z,home,0.14661320592849847,0.8273040771552523
Uruguay,Saudi Arabia,2026-06-15T22:00:00Z,away,0.6285572477089322,0.8273040771552523
Iran,New Zealand,2026-06-16T01:00:00Z,home,0.5065622077623214,0.9395625182202947
New Zealand,Iran,2026-06-16T01:00:00Z,away,0.22012962664913344,0.9395625182202947
France,Senegal,2026-06-16T19:00:00Z,home,0.654197293796388,0.7972968356585639
Senegal,France,2026-06-16T19:00:00Z,away,0.13454174216057568,0.7972968356585639
Iraq,Norway,2026-06-16T22:00:00Z,home,0.08063852472684362,0.6305429011823727
Norway,Iraq,2026-06-16T22:00:00Z,away,0.7672700441709484,0.6305429011823727
Algeria,Argentina,2026-06-17T01:00:00Z,away,0.11394278695313627,0.765125963356679
Argentina,Algeria,2026-06-17T01:00:00Z,home,0.6754669028227119,0.765125963356679
Austria,Jordan,2026-06-17T04:00:00Z,home,0.7105460123583158,0.7224298025551159
Jordan,Austria,2026-06-17T04:00:00Z,away,0.10957067141709415,0.7224298025551159
DR Congo,Portugal,2026-06-17T17:00:00Z,away,0.08830868042168001,0.6607216920574163
Portugal,DR Congo,2026-06-17T17:00:00Z,home,0.7492260406717617,0.6607216920574163
Croatia,England,2026-06-17T20:00:00Z,away,0.20011770129354248,0.910285804715173
England,Croatia,2026-06-17T20:00:00Z,home,0.5464638854713998,0.910285804715173
Ghana,Panama,2026-06-17T23:00:00Z,home,0.469358349398182,0.9638975657692735
Panama,Ghana,2026-06-17T23:00:00Z,away,0.25942027124498285,0.9638975657692735
Colombia,Uzbekistan,2026-06-18T02:00:00Z,away,0.6730774525965205,0.770462070772218
Uzbekistan,Colombia,2026-06-18T02:00:00Z,home,0.11918499202015581,0.770462070772218
Czech Republic,South Africa,2026-06-18T16:00:00Z,home,0.46629809552115864,0.962734900772063
South Africa,Czech Republic,2026-06-18T16:00:00Z,away,0.23795381989341735,0.962734900772063
Bosnia & Herzegovina,Switzerland,2026-06-18T19:00:00Z,away,0.1595345563272411,0.8523975357822409
Switzerland,Bosnia & Herzegovina,2026-06-18T19:00:00Z,home,0.6059795378427127,0.8523975357822409
Canada,Qatar,2026-06-18T22:00:00Z,home,0.6864054013321117,0.7511478446932925
Qatar,Canada,2026-06-18T22:00:00Z,away,0.11014402169332004,0.7511478446932925
Mexico,South Korea,2026-06-19T01:00:00Z,home,0.5196874594712428,0.9289380936839551
South Korea,Mexico,2026-06-19T01:00:00Z,away,0.20641502278114077,0.9289380936839551
Australia,USA,2026-06-19T19:00:00Z,away,0.20098233561697304,0.9144454911967269
USA,Australia,2026-06-19T19:00:00Z,home,0.5406783163821635,0.9144454911967269
Morocco,Scotland,2026-06-19T22:00:00Z,away,0.4548496339240162,0.9693472649828603
Scotland,Morocco,2026-06-19T22:00:00Z,home,0.24925773002858426,0.9693472649828603
Brazil,Haiti,2026-06-20T01:00:00Z,home,0.9022651994600188,0.34162621609702776
Haiti,Brazil,2026-06-20T01:00:00Z,away,0.024688283693567247,0.34162621609702776
Paraguay,Turkey,2026-06-20T03:00:00Z,away,0.2786329308903773,0.9848464366238067
Turkey,Paraguay,2026-06-20T03:00:00Z,home,0.41972004908730287,0.9848464366238067
Netherlands,Sweden,2026-06-20T17:00:00Z,home,0.5674881002407284,0.8922434068419883
Sweden,Netherlands,2026-06-20T17:00:00Z,away,0.18848990938468424,0.8922434068419883
Germany,Ivory Coast,2026-06-20T20:00:00Z,home,0.6096030008872192,0.8513609739041146
Ivory Coast,Germany,2026-06-20T20:00:00Z,away,0.16657558810801354,0.8513609739041146
Curaçao,Ecuador,2026-06-21T00:00:00Z,away,0.07620931118393406,0.6351646333335227
Ecuador,Curaçao,2026-06-21T00:00:00Z,home,0.7621264346688921,0.6351646333335227
Japan,Tunisia,2026-06-21T04:00:00Z,away,0.510453858713173,0.9341000177141867
Tunisia,Japan,2026-06-21T04:00:00Z,home,0.2063945122249603,0.9341000177141867
Saudi Arabia,Spain,2026-06-21T16:00:00Z,away,0.039761198033200155,0.45551412745958164
Spain,Saudi Arabia,2026-06-21T16:00:00Z,home,0.8543677467163934,0.45551412745958164
Belgium,Iran,2026-06-21T19:00:00Z,home,0.660997075836671,0.7872954340641494
Iran,Belgium,2026-06-21T19:00:00Z,away,0.1276951676521056,0.7872954340641494
Cape Verde,Uruguay,2026-06-21T22:00:00Z,away,0.13205338258420063,0.7970538613210656
Uruguay,Cape Verde,2026-06-21T22:00:00Z,home,0.6533966521117216,0.7970538613210656
Egypt,New Zealand,2026-06-22T01:00:00Z,away,0.5483467032087167,0.9074930171798969
New Zealand,Egypt,2026-06-22T01:00:00Z,home,0.19384578942130873,0.9074930171798969
Argentina,Austria,2026-06-22T17:00:00Z,home,0.5711940517420082,0.8859275125000925
Austria,Argentina,2026-06-22T17:00:00Z,away,0.17601546987670638,0.8859275125000925
France,Iraq,2026-06-22T21:00:00Z,home,0.8453445907015865,0.47313906176235854
Iraq,France,2026-06-22T21:00:00Z,away,0.040662984160002524,0.47313906176235854
Norway,Senegal,2026-06-23T00:00:00Z,home,0.449558089773376,0.9735362766185183
Senegal,Norway,2026-06-23T00:00:00Z,away,0.27158326807065647,0.9735362766185183
Algeria,Jordan,2026-06-23T03:00:00Z,away,0.5725276856034155,0.8859016500337069
Jordan,Algeria,2026-06-23T03:00:00Z,home,0.1791288177333712,0.8859016500337069
Portugal,Uzbekistan,2026-06-23T17:00:00Z,home,0.780376966659271,0.605193793141346
Uzbekistan,Portugal,2026-06-23T17:00:00Z,away,0.0713129478603195,0.605193793141346
England,Ghana,2026-06-23T20:00:00Z,home,0.7141745052222507,0.7144241933315857
Ghana,England,2026-06-23T20:00:00Z,away,0.10244823190202662,0.7144241933315857
Croatia,Panama,2026-06-23T23:00:00Z,away,0.6259018993254886,0.8272613519351831
Panama,Croatia,2026-06-23T23:00:00Z,home,0.14077720596255214,0.8272613519351831
Colombia,DR Congo,2026-06-24T02:00:00Z,home,0.6283836753935859,0.8229491137887812
DR Congo,Colombia,2026-06-24T02:00:00Z,away,0.1364080172733252,0.8229491137887812
Bosnia & Herzegovina,Qatar,2026-06-24T19:00:00Z,home,0.5499507294609177,0.9046642994229948
Canada,Switzerland,2026-06-24T19:00:00Z,away,0.2562666395816383,0.9684804209972733
Qatar,Bosnia & Herzegovina,2026-06-24T19:00:00Z,away,0.18768789719131157,0.9046642994229948
Switzerland,Canada,2026-06-24T19:00:00Z,home,0.4590842483462938,0.9684804209972733
Brazil,Scotland,2026-06-24T22:00:00Z,away,0.6816529255453908,0.7620564601600168
Haiti,Morocco,2026-06-24T22:00:00Z,away,0.10677489140875843,0.7236875732516449
Morocco,Haiti,2026-06-24T22:00:00Z,home,0.7084548938726489,0.7236875732516449
Scotland,Brazil,2026-06-24T22:00:00Z,home,0.12135066754084878,0.7620564601600168
Czech Republic,Mexico,2026-06-25T01:00:00Z,home,0.24674254526551737,0.9626170172651494
Mexico,Czech Republic,2026-06-25T01:00:00Z,away,0.46982675285752207,0.9626170172651494
South Africa,South Korea,2026-06-25T01:00:00Z,home,0.2653344323544163,0.9736495307284996
South Korea,South Africa,2026-06-25T01:00:00Z,away,0.44860471527350276,0.9736495307284996
Curaçao,Ivory Coast,2026-06-25T20:00:00Z,home,0.10030080434290288,0.7114477822386777
Ecuador,Germany,2026-06-25T20:00:00Z,home,0.18904713954276658,0.8949013779760656
Germany,Ecuador,2026-06-25T20:00:00Z,away,0.5641676433995375,0.8949013779760656
Ivory Coast,Curaçao,2026-06-25T20:00:00Z,away,0.7156413411965213,0.7114477822386777
Japan,Sweden,2026-06-25T23:00:00Z,home,0.4569385181799715,0.9700610309490458
Netherlands,Tunisia,2026-06-25T23:00:00Z,away,0.6091642181416849,0.8488460651185701
Sweden,Japan,2026-06-25T23:00:00Z,away,0.26548626631141076,0.9700610309490458
Tunisia,Netherlands,2026-06-25T23:00:00Z,home,0.15732181354831196,0.8488460651185701
Australia,Paraguay,2026-06-26T02:00:00Z,away,0.27566928084843756,0.9805203850697061
Paraguay,Australia,2026-06-26T02:00:00Z,home,0.4323114425035614,0.9805203850697061
Turkey,USA,2026-06-26T02:00:00Z,home,0.34584887057072417,0.99327277437497
USA,Turkey,2026-06-26T02:00:00Z,away,0.3749759171582426,0.99327277437497
France,Norway,2026-06-26T19:00:00Z,away,0.5527451729194611,0.9040815926006152
Iraq,Senegal,2026-06-26T19:00:00Z,away,0.1481332422481745,0.8333513543822001
Norway,France,2026-06-26T19:00:00Z,home,0.19248516331787902,0.9040815926006152
Senegal,Iraq,2026-06-26T19:00:00Z,home,0.6226511938281983,0.8333513543822001
Cape Verde,Saudi Arabia,2026-06-27T00:00:00Z,home,0.33471566956526605,0.9940743100832174
Saudi Arabia,Cape Verde,2026-06-27T00:00:00Z,away,0.3790858929909356,0.9940743100832174
Spain,Uruguay,2026-06-27T00:00:00Z,away,0.5772187356121709,0.8834038776424702
Uruguay,Spain,2026-06-27T00:00:00Z,home,0.18344532165764657,0.8834038776424702
Belgium,New Zealand,2026-06-27T03:00:00Z,away,0.7393917584828956,0.6785819450862292
Egypt,Iran,2026-06-27T03:00:00Z,home,0.38967062793903884,0.9935250984928329
Iran,Egypt,2026-06-27T03:00:00Z,away,0.29840540288351336,0.9935250984928329
New Zealand,Belgium,2026-06-27T03:00:00Z,home,0.09657009927942489,0.6785819450862292
Croatia,Ghana,2026-06-27T21:00:00Z,home,0.5421329005144228,0.9129012987531175
England,Panama,2026-06-27T21:00:00Z,away,0.7756342094531137,0.6165365018763684
Ghana,Croatia,2026-06-27T21:00:00Z,away,0.19857641804048912,0.9129012987531175
Panama,England,2026-06-27T21:00:00Z,home,0.0780333562283418,0.6165365018763684
Colombia,Portugal,2026-06-27T23:30:00Z,home,0.275348001957514,0.9778908132968446
DR Congo,Uzbekistan,2026-06-27T23:30:00Z,home,0.37555294458059524,0.9952095704667657
Portugal,Colombia,2026-06-27T23:30:00Z,away,0.43928957369739274,0.9778908132968446
Uzbekistan,DR Congo,2026-06-27T23:30:00Z,away,0.33258876705962814,0.9952095704667657
Algeria,Austria,2026-06-28T02:00:00Z,home,0.2677557606061063,0.9756093484828401
Argentina,Jordan,2026-06-28T02:00:00Z,away,0.7998907619613276,0.5734496159709885
Austria,Algeria,2026-06-28T02:00:00Z,away,0.44413374544134065,0.9756093484828401
Jordan,Argentina,2026-06-28T02:00:00Z,home,0.06985294026704209,0.5734496159709885
