country,opponent,commence_time,venue,p_win,closeness,trends_interest_per_capita,game_weight_for_country
USA,Turkey,2026-06-26T02:00:00Z,away,0.3749759171582426,0.99327277437497,5780000000.0,57411.16635887326
USA,Paraguay,2026-06-13T01:00:00Z,home,0.4761113678687317,0.960062779385906,5780000000.0,55491.628648505364
USA,Australia,2026-06-19T19:00:00Z,home,0.5406783163821635,0.9144454911967268,5780000000.0,52854.949391170805
South Africa,South Korea,2026-06-25T01:00:00Z,home,0.2653344323544163,0.9736495307284996,1380000000.0,13436.363524053295
South Africa,Czech Republic,2026-06-18T16:00:00Z,away,0.2379538198934173,0.962734900772063,1380000000.0,13285.741630654471
Ghana,Panama,2026-06-17T23:00:00Z,home,0.469358349398182,0.9638975657692735,1190000000.0,11470.381032654355
South Africa,Mexico,2026-06-11T19:00:00Z,away,0.1313039107361651,0.8066831362395448,1380000000.0,11132.227280105717
Ghana,Croatia,2026-06-27T21:00:00Z,away,0.1985764180404891,0.9129012987531177,1190000000.0,10863.5254551621
Canada,Switzerland,2026-06-24T19:00:00Z,away,0.2562666395816383,0.9684804209972732,1040000000.0,10072.19637837164
Canada,Bosnia & Herzegovina,2026-06-12T19:00:00Z,home,0.5199690006808263,0.9310115130922966,1040000000.0,9682.519736159886
Mexico,Czech Republic,2026-06-25T01:00:00Z,away,0.469826752857522,0.9626170172651494,896000000.0,8625.048474695739
Ghana,England,2026-06-23T20:00:00Z,away,0.1024482319020266,0.7144241933315857,1190000000.0,8501.64790064587
Mexico,South Korea,2026-06-19T01:00:00Z,home,0.5196874594712428,0.9289380936839552,896000000.0,8323.285319408238
Canada,Qatar,2026-06-18T22:00:00Z,home,0.6864054013321117,0.7511478446932925,1040000000.0,7811.937584810243
Mexico,South Africa,2026-06-11T19:00:00Z,home,0.643253535585145,0.8066831362395448,896000000.0,7227.880900706321
England,Croatia,2026-06-17T20:00:00Z,home,0.5464638854713998,0.910285804715173,627000000.0,5707.491995564134
Brazil,Morocco,2026-06-13T22:00:00Z,home,0.5864466549937726,0.8727022058835693,645000000.0,5628.929227949022
Egypt,Iran,2026-06-27T03:00:00Z,home,0.3896706279390388,0.9935250984928328,530000000.0,5265.683022012014
Brazil,Scotland,2026-06-24T22:00:00Z,away,0.6816529255453908,0.7620564601600168,645000000.0,4915.2641680321085
Egypt,New Zealand,2026-06-22T01:00:00Z,away,0.5483467032087167,0.9074930171798968,530000000.0,4809.712991053453
Egypt,Belgium,2026-06-15T19:00:00Z,away,0.1911165124426053,0.8923289053161562,530000000.0,4729.343198175628
South Korea,Czech Republic,2026-06-12T02:00:00Z,home,0.3535143299899776,0.997461798367622,459000000.0,4578.349654507386
