#match,group,date,local_time,stadium,city,country,day,UTC_Offset,side,opponent,localtime,country_odds,opponent_odds,country_weighted,opponent_weighted,p_win,closeness,trends_interest_per_capita,game_weight_for_country,local_hour
25,A,2026-06-18,12.0,Mercedes-Benz Stadium,Atlanta,Czechia,2,-4,team_1,South Africa,17.0,Czech Republic,South Africa,Czech Republic,South Africa,0.4662980955211586,0.962734900772063,63000000.0,606.5229874863998,17
2,A,2026-06-11,22.0,Estadio Akron,Guadalajara,Korea Republic,1,-6,team_1,Czechia,13.0,South Korea,Czech Republic,South Korea,Czech Republic,0.3535143299899776,0.997461798367622,459000000.0,4578.349654507386,13
52,C,2026-06-24,18.0,Mercedes-Benz Stadium,Atlanta,Morocco,3,-4,team_1,Haiti,23.0,Morocco,Haiti,Morocco,Haiti,0.7084548938726489,0.7236875732516449,333000000.0,2409.8796189279774,23
28,A,2026-06-18,21.0,Estadio Akron,Guadalajara,Mexico,2,-6,team_1,Korea Republic,21.0,Mexico,South Korea,Mexico,South Korea,0.5196874594712428,0.9289380936839552,896000000.0,8323.285319408238,21
13,H,2026-06-15,12.0,Mercedes-Benz Stadium,Atlanta,Spain,1,-4,team_1,Cape Verde,17.0,Spain,Cape Verde,Spain,Cape Verde,0.8760132156128039,0.4073975781286083,240000000.0,977.7541875086598,17
54,A,2026-06-24,21.0,Estadio BBVA,Monterrey,South Africa,3,-6,team_1,Korea Republic,5.0,South Africa,South Korea,South Africa,South Korea,0.2653344323544163,0.9736495307284996,1380000000.0,13436.363524053297,5
37,H,2026-06-21,12.0,Mercedes-Benz Stadium,Atlanta,Spain,2,-4,team_1,Saudi Arabia,17.0,Spain,Saudi Arabia,Spain,Saudi Arabia,0.8543677467163934,0.4555141274595816,240000000.0,1093.2339059029955,17
5,B,2026-06-13,15.0,Levi's Stadium,San Francisco,Qatar,1,-7,team_1,Switzerland,1.0,Qatar,Switzerland,Qatar,Switzerland,0.0882319975482674,0.670026150228556,83200000.0,557.4617569901586,1
70,K,2026-06-27,19.5,Mercedes-Benz Stadium,Atlanta,DR Congo,3,-4,team_1,Uzbekistan,0.5,DR Congo,Uzbekistan,DR Congo,Uzbekistan,0.3755529445805952,0.9952095704667656,297000000.0,2955.772424286294,0
27,B,2026-06-18,18.0,BC Place,Vancouver,Canada,2,-7,team_1,Qatar,20.0,Canada,Qatar,Canada,Qatar,0.6864054013321117,0.7511478446932925,1040000000.0,7811.937584810243,20
49,B,2026-06-24,15.0,BC Place,Vancouver,Switzerland,3,-7,team_1,Canada,23.0,Switzerland,Canada,Switzerland,Canada,0.4590842483462938,0.9684804209972732,69600000.0,674.0623730141021,23
7,C,2026-06-13,21.0,Gillette Stadium,Boston,Haiti,1,-4,team_1,Scotland,20.0,Haiti,Scotland,Haiti,Scotland,0.1312833781709722,0.7838717264475732,68400000.0,536.1682608901401,20
29,C,2026-06-19,18.0,Gillette Stadium,Boston,Scotland,2,-4,team_1,Morocco,22.0,Scotland,Morocco,Scotland,Morocco,0.2492577300285842,0.9693472649828604,60500000.0,586.4550953146305,22
18,I,2026-06-16,18.0,Gillette Stadium,Boston,Iraq,1,-4,team_1,Norway,1.0,Iraq,Norway,Iraq,Norway,0.0806385247268436,0.6305429011823727,258000000.0,1626.8006850505217,1
61,I,2026-06-26,15.0,Gillette Stadium,Boston,Norway,3,-4,team_1,France,20.0,Norway,France,Norway,France,0.192485163317879,0.9040815926006152,38500000.0,348.07141315123687,20
