country,trends_interest,wiki_window_views,wiki_baseline_views,wiki_lift,trends_norm,wiki_norm,combined,divergence,trends_rank,wiki_rank
Bosnia & Herzegovina,18,286096,50639,5.65,0.486486486,1,0.743243243,0.513513514,6,1
Czech Republic,6,165723,57184,2.898,0.162162162,0.512920354,0.337541258,0.350758192,26,2
Sweden,7,3450,1218,2.833,0.189189189,0.501415929,0.345302559,0.31222674,19,3
Iraq,6,179262,67712,2.647,0.162162162,0.468495575,0.315328869,0.306333413,26,4
Turkey,4,185354,80434,2.304,0.108108108,0.407787611,0.257947859,0.299679503,40,5
Iran,1,186486,86517,2.155,0.027027027,0.381415929,0.204221478,0.354388902,47,6
France,3,471534,246464,1.913,0.081081081,0.338584071,0.209832576,0.25750299,42,7
Uruguay,6,204933,109109,1.878,0.162162162,0.332389381,0.247275771,0.170227218,26,8
Spain,5,439010,236424,1.857,0.135135135,0.328672566,0.231903851,0.193537431,33,9
Brazil,3,579385,316802,1.829,0.081081081,0.323716814,0.202398948,0.242635733,42,10
England,11,620722,346580,1.791,0.297297297,0.31699115,0.307144224,0.019693853,10,11
Japan,2,272732,157499,1.732,0.054054054,0.306548673,0.180301363,0.252494619,46,12
Portugal,9,344821,200302,1.722,0.243243243,0.304778761,0.274011002,0.061535518,13,13
Germany,5,389932,229691,1.698,0.135135135,0.300530973,0.217833054,0.165395838,33,14
Mexico,7,265011,161070,1.645,0.189189189,0.291150442,0.240169816,0.101961253,19,15
Colombia,5,151423,93082,1.627,0.135135135,0.287964602,0.211549868,0.152829467,33,16
Australia,13,175291,108046,1.622,0.351351351,0.287079646,0.319215499,-0.064271705,9,17
USA,17,332543,205918,1.615,0.459459459,0.285840708,0.372650084,-0.173618751,8,18
New Zealand,18,892,555,1.607,0.486486486,0.284424779,0.385455633,-0.202061708,6,19
Switzerland,8,115232,72178,1.596,0.216216216,0.282477876,0.249347046,0.06626166,17,20
Belgium,6,199896,126845,1.576,0.162162162,0.278938053,0.220550108,0.116775891,26,21
Scotland,11,178089,116622,1.527,0.297297297,0.270265487,0.283781392,-0.027031811,10,22
Ecuador,7,110821,72574,1.527,0.189189189,0.270265487,0.229727338,0.081076298,19,22
Netherlands,6,263923,173054,1.525,0.162162162,0.269911504,0.216036833,0.107749342,26,24
Paraguay,6,91243,60124,1.518,0.162162162,0.268672566,0.215417364,0.106510404,26,25
South Korea,9,164030,109477,1.498,0.243243243,0.265132743,0.254187993,0.0218895,13,26
Argentina,4,400097,267711,1.495,0.108108108,0.26460177,0.186354939,0.156493662,40,27
Austria,5,102008,69254,1.473,0.135135135,0.260707965,0.19792155,0.125572829,33,28
Croatia,9,175348,119242,1.471,0.243243243,0.260353982,0.251798613,0.017110739,13,29
Curaçao,37,237517,162564,1.461,1,0.258584071,0.629292035,-0.741415929,1,30
Uzbekistan,7,122490,84831,1.444,0.189189189,0.255575221,0.222382205,0.066386032,19,31
Canada,26,161578,114362,1.413,0.702702703,0.250088496,0.476395599,-0.452614207,3,32
Cape Verde,1,132901,95373,1.393,0.027027027,0.246548673,0.13678785,0.219521646,47,33
Panama,11,69493,52267,1.33,0.297297297,0.23539823,0.266347764,-0.061899067,10,34
Haiti,6,113340,87174,1.3,0.162162162,0.230088496,0.196125329,0.067926333,26,35
Qatar,26,82601,63867,1.293,0.702702703,0.228849558,0.46577613,-0.473853145,3,36
Norway,7,177653,137502,1.292,0.189189189,0.228672566,0.208930878,0.039483377,19,37
Saudi Arabia,8,94477,79956,1.182,0.216216216,0.20920354,0.212709878,-0.007012676,17,38
DR Congo,3,167249,152826,1.094,0.081081081,0.193628319,0.1373547,0.112547238,42,39
Ghana,35,142790,152865,0.934,0.945945946,0.165309735,0.55562784,-0.780636211,2,40
South Africa,23,6538,7501,0.872,0.621621622,0.154336283,0.387978952,-0.467285338,5,41
Jordan,7,83653,100076,0.836,0.189189189,0.147964602,0.168576895,-0.041224587,19,42
Tunisia,7,74012,99716,0.742,0.189189189,0.131327434,0.160258311,-0.057861756,19,43
Ivory Coast,3,125549,194324,0.646,0.081081081,0.114336283,0.097708682,0.033255202,42,44
Morocco,9,217382,407479,0.533,0.243243243,0.094336283,0.168789763,-0.14890696,13,45
Algeria,5,92062,173358,0.531,0.135135135,0.093982301,0.114558718,-0.041152834,33,46
Egypt,5,107111,253468,0.423,0.135135135,0.074867257,0.105001196,-0.060267878,33,47
Senegal,5,126283,336126,0.376,0.135135135,0.066548673,0.100841904,-0.068586463,33,48
