"REF_DATE","GEO","DGUID","Air passenger traffic","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Canada","2021A000011124","Total, passengers enplaned and deplaned","Number","223","units","0","v65781694","100000.1","109360095","","","","0"
"2008","Canada","2021A000011124","Passengers enplaned","Number","223","units","0","v65781695","100000.2","54671159","","","","0"
"2008","Canada","2021A000011124","Passengers deplaned","Number","223","units","0","v65781696","100000.3","54688936","","","","0"
"2008","Canada","2021A000011124","Total, passenger sector","Number","223","units","0","v65781697","100000.4","109360095","","","","0"
"2008","Canada","2021A000011124","Domestic sector","Number","223","units","0","v65781698","100000.5","68112020","","","","0"
"2008","Canada","2021A000011124","Transborder sector","Number","223","units","0","v65781699","100000.6","21695530","","","","0"
"2008","Canada","2021A000011124","Other International sector","Number","223","units","0","v65781700","100000.7","19552545","","","","0"
"2008","Canada","2021A000011124","Passenger flights","Number","223","units","0","v65781701","100000.8","2287278","","","","0"
"2008","Newfoundland and Labrador","2021A000210","Total, passengers enplaned and deplaned","Number","223","units","0","v65781702","101000.1","1762605","","","","0"
"2008","Newfoundland and Labrador","2021A000210","Passengers enplaned","Number","223","units","0","v65781703","101000.2","885273","","","","0"
"2008","Newfoundland and Labrador","2021A000210","Passengers deplaned","Number","223","units","0","v65781704","101000.3","877332","","","","0"
"2008","Newfoundland and Labrador","2021A000210","Total, passenger sector","Number","223","units","0","v65781705","101000.4","1762605","","","","0"
"2008","Newfoundland and Labrador","2021A000210","Domestic sector","Number","223","units","0","v65781706","101000.5","1686273","","","","0"
"2008","Newfoundland and Labrador","2021A000210","Transborder sector","Number","223","units","0","v65781707","101000.6","37470","","","","0"
"2008","Newfoundland and Labrador","2021A000210","Other International sector","Number","223","units","0","v65781708","101000.7","38862","","","","0"
"2008","Newfoundland and Labrador","2021A000210","Passenger flights","Number","223","units","0","v65781709","101000.8","69836","","","","0"
"2008","Black Tickle, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65780694","5157.1","","x","","","0"
"2008","Black Tickle, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65780695","5157.2","","x","","","0"
"2008","Black Tickle, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65780696","5157.3","","x","","","0"
"2008","Black Tickle, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65780697","5157.4","","x","","","0"
"2008","Black Tickle, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65780698","5157.5","","x","","","0"
"2008","Black Tickle, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65780699","5157.6","0","","","","0"
"2008","Black Tickle, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65780700","5157.7","0","","","","0"
"2008","Black Tickle, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65780701","5157.8","","x","","","0"
"2008","Cartwright, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65780710","5160.1","","x","","","0"
"2008","Cartwright, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65780711","5160.2","","x","","","0"
"2008","Cartwright, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65780712","5160.3","","x","","","0"
"2008","Cartwright, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65780713","5160.4","","x","","","0"
"2008","Cartwright, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65780714","5160.5","","x","","","0"
"2008","Cartwright, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65780715","5160.6","0","","","","0"
"2008","Cartwright, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65780716","5160.7","0","","","","0"
"2008","Cartwright, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65780717","5160.8","","x","","","0"
"2008","Charlottetown, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65780966","5218.1","","x","","","0"
"2008","Charlottetown, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65780967","5218.2","","x","","","0"
"2008","Charlottetown, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65780968","5218.3","","x","","","0"
"2008","Charlottetown, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65780969","5218.4","","x","","","0"
"2008","Charlottetown, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65780970","5218.5","","x","","","0"
"2008","Charlottetown, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65780971","5218.6","0","","","","0"
"2008","Charlottetown, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65780972","5218.7","0","","","","0"
"2008","Charlottetown, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65780973","5218.8","","x","","","0"
"2008","Churchill Falls, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65778902","57.1","","x","","","0"
"2008","Churchill Falls, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65778903","57.2","","x","","","0"
"2008","Churchill Falls, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65778904","57.3","","x","","","0"
"2008","Churchill Falls, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65778905","57.4","","x","","","0"
"2008","Churchill Falls, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65778906","57.5","","x","","","0"
"2008","Churchill Falls, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65778907","57.6","0","","","","0"
"2008","Churchill Falls, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65778908","57.7","0","","","","0"
"2008","Churchill Falls, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65778909","57.8","","x","","","0"
"2008","Deer Lake, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65779014","72.1","272050","","","","0"
"2008","Deer Lake, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65779015","72.2","136080","","","","0"
"2008","Deer Lake, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65779016","72.3","135970","","","","0"
"2008","Deer Lake, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65779017","72.4","272050","","","","0"
"2008","Deer Lake, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65779018","72.5","265095","","","","0"
"2008","Deer Lake, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65779019","72.6","0","","","","0"
"2008","Deer Lake, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65779020","72.7","6955","","","","0"
"2008","Deer Lake, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65779021","72.8","12592","","","","0"
"2008","Gander International, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65778678","27.1","93646","","","","0"
"2008","Gander International, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65778679","27.2","47264","","","","0"
"2008","Gander International, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65778680","27.3","46382","","","","0"
"2008","Gander International, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65778681","27.4","93646","","","","0"
"2008","Gander International, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65778682","27.5","91120","","","","0"
"2008","Gander International, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65778683","27.6","694","","","","0"
"2008","Gander International, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65778684","27.7","1832","","","","0"
"2008","Gander International, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65778685","27.8","3855","","","","0"
"2008","Goose Bay, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65778662","24.1","91466","","","","0"
"2008","Goose Bay, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65778663","24.2","46843","","","","0"
"2008","Goose Bay, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65778664","24.3","44623","","","","0"
"2008","Goose Bay, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65778665","24.4","91466","","","","0"
