"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Provincial and territorial gross domestic product (GDP) and employment generated by tourism and related measures","24100042",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2410004201",,"CURRENT - a cube available to the public and that is current","Occasional","2014-01-01","2022-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Gross domestic product (GDP) and related measures",,""
"3","Industry",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",,
"1","Newfoundland and Labrador","[10]","2","1","",,
"1","Prince Edward Island","[11]","3","1","",,
"1","Nova Scotia","[12]","4","1","",,
"1","New Brunswick","[13]","5","1","",,
"1","Quebec","[24]","6","1","",,
"1","Ontario","[35]","7","1","",,
"1","Manitoba","[46]","8","1","",,
"1","Saskatchewan","[47]","9","1","",,
"1","Alberta","[48]","10","1","",,
"1","British Columbia","[59]","11","1","",,
"1","Yukon","[60]","12","1","",,
"1","Northwest Territories","[61]","13","1","",,
"1","Nunavut","[62]","14","1","",,
"2","Gross domestic product (GDP) at basic prices","","1","","",6,
"2","Labour income","","2","1","",6,
"2","Gross mixed income","","3","1","",6,
"2","Other operating surplus","","4","1","",1,
"2","Number of jobs","","5","","",2,
"2","Labour compensation per job","","6","","",,
"2","Gross domestic product (GDP) per job","","7","","",,
"2","Tourism gross domestic product (GDP) ratio","","8","","",3,
"2","Tourism employment ratio","","9","","",4,
"3","Total economy","","1","","",,
"3","Total tourism activities","","2","1","",,
"3","Total tourism industries","","3","2","",,
"3","Total transportation","","4","3","",,
"3","Air transportation","","5","4","",,
"3","Railway transportation","","6","4","",,
"3","Water transportation","","7","4","",,
"3","Bus transportation","","8","4","",,
"3","Taxis","","9","4","",,
"3","Vehicle rental","","10","4","",,
"3","Total accommodation","","11","3","",,
"3","Hotels","","12","11","",,
"3","Motels","","13","11","",,
"3","Camping","","14","11","",,
"3","Other accommodation","","15","11","",,
"3","Food and beverage services","","16","3","",,
"3","Recreation and entertainment","","17","3","",,
"3","Travel services","","18","3","",,
"3","Other industries","","19","2","",5,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"1902","Provincial and Territorial Gross Domestic Product by Income and by Expenditure Accounts"

"Subject Code","Subject Name"
"24","Travel and tourism"

"Note ID",Note
1,"Includes Gross operating surplus, taxes on production (excluding taxes on products) and subsidies on production. Total economy estimates taken from supply and use tables available at time of release."
2,"Total economy estimates taken from table 36-10-0480-01 at time of release."
3,"Tourism's share of total industry's Gross Domestic Product (GDP). Percentage of an industry's GDP that comes from satisfying tourism demand. "Total industry's GDP" is a broad variable as it also includes freight activities."
4,"Tourism's share of total industry's employment. Percentage of an industry's employment that comes from satisfying tourism demand. "Total industry's employment" is a broad variable as it also includes freight activities."
5,"Includes non-tourism industries that produce some products bought by tourists including groceries, alcoholic beverages from stores, motor vehicle parts and repair, motor vehicle fuel, toiletries etcetera."
6,"Total economy estimates taken from supply and use tables available at time of release."

"Correction ID","Correction Date","Correction Note"
