AirportID,Name,City,Country,IATA,ICAO,stadium_name,distance_km
7846,Arlington Municipal Airport,Arlington,United States,\N,KGKY,AT&T Stadium,9.352453855517766
3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,KDFW,AT&T Stadium,17.32566211756595
8188,Dallas Executive Airport,Dallas,United States,RBD,KRBD,AT&T Stadium,22.31555597632958
3502,Dallas Love Field,Dallas,United States,DAL,KDAL,AT&T Stadium,25.093760164684063
3723,Fort Worth Meacham International Airport,Fort Worth,United States,FTW,KFTW,AT&T Stadium,26.419356437631766
6948,NAS Fort Worth JRB/Carswell Field,Dallas,United States,FWH,KNFW,AT&T Stadium,32.67324351375101
8342,Fort Worth Alliance Airport,Fort Worth,United States,AFW,KAFW,AT&T Stadium,33.978541230408034
7513,Addison Airport,Addison,United States,ADS,KADS,AT&T Stadium,34.295041380157464
4293,Charles B. Wheeler Downtown Airport,Kansas City,United States,MKC,KMKC,Arrowhead Stadium,12.499892818000113
9228,Johnson County Executive Airport,Olathe,United States,OJC,KOJC,Arrowhead Stadium,31.344710363427158
3458,Kansas City International Airport,Kansas City,United States,MCI,KMCI,Arrowhead Stadium,34.012973733439964
7869,New Century Aircenter Airport,Olathe,United States,JCI,KIXD,Arrowhead Stadium,42.69600994767665
13022,Harbour (Public) Heliport,Vancouver,Canada,\N,CBC7,BC Place,1.179953437706776
5500,Vancouver Harbour Water Aerodrome,Vancouver,Canada,CXH,CYHC,BC Place,1.9360685356260894
156,Vancouver International Airport,Vancouver,Canada,YVR,CYVR,BC Place,10.616347034407049
12090,Vancouver International Seaplane Base,Vancouver,Canada,\N,CAM9,BC Place,11.838706851035072
7273,Boundary Bay Airport,Boundary Bay,Canada,YDT,CZBB,BC Place,23.693008747261462
104,Pitt Meadows Airport,Pitt Meadows,Canada,\N,CYPK,BC Place,29.956129205543018
7274,Langley Airport,Langley Township,Canada,YLY,CYNJ,BC Place,40.072329942855774
144,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ,BMO Field,1.934140173521466
194,Downsview Airport,Toronto,Canada,YZD,CYZD,BMO Field,12.73935177494352
193,Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,BMO Field,17.71860007387356
82,Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,BMO Field,25.7881709325233
9238,Markham Airport,Markham,Canada,\N,CNU8,BMO Field,35.94565705254275
7820,Brampton Airport,Brampton,Canada,\N,CNC3,BMO Field,39.29780568328989
7780,Burlington Executive,Burlington,Canada,\N,CZBA,BMO Field,40.758228192660596
1859,Zapopan Airport,Zapopan,Mexico,\N,MMZP,Estadio Akron,6.574895943106437
1804,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,GDL,MMGL,Estadio Akron,24.68397472707393
1824,Licenciado Benito Juarez International Airport,Mexico City,Mexico,MEX,MMMX,Estadio Azteca,16.976668265114725
1850,Licenciado Adolfo Lopez Mateos International Airport,Toluca,Mexico,TLC,MMTO,Estadio Azteca,43.71214307013918
1825,General Mariano Escobedo International Airport,Monterrey,Mexico,MTY,MMMY,Estadio BBVA,18.572318706729526
1784,Del Norte International Airport,Monterrey,Mexico,NTR,MMAN,Estadio BBVA,21.883956853115368
8280,Norwood Memorial Airport,Norwood,United States,OWD,KOWD,Gillette Stadium,13.37266835206019
3781,North Central State Airport,Smithfield,United States,SFZ,KSFZ,Gillette Stadium,26.668552309071508
8276,Taunton Municipal King Field,Taunton,United States,\N,KTAN,Gillette Stadium,31.594856221515727
3448,General Edward Lawrence Logan International Airport,Boston,United States,BOS,KBOS,Gillette Stadium,37.115802032334706
3641,Theodore Francis Green State Airport,Providence,United States,PVD,KPVD,Gillette Stadium,41.900951947774345
3425,Laurence G Hanscom Field,Bedford,United States,BED,KBED,Gillette Stadium,42.193175499456366
8277,Plymouth Municipal Airport,Plymouth,United States,PYM,KPYM,Gillette Stadium,48.63608727914501
