AirportID,Name,stadium_name,distance_km,City,Country,IATA,ICAO,airport_lat,airport_lon,Altitude,Timezone,DST,TzDatabaseTimezone,city_name,country,lat,lon
33,Nanaimo Airport,BC Place,60.3796643148869,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,Canada,49.277,-123.112
70,John C. Munro Hamilton International Airport,BMO Field,65.93292830275857,Hamilton,Canada,YHM,CYHM,43.173599243199995,-79.93499755859999,780,-5,A,America/Toronto,Toronto,Canada,43.633,-79.419
82,Buttonville Municipal Airport,BMO Field,25.7881709325233,Toronto,Canada,YKZ,CYKZ,43.86220169067383,-79.37000274658203,650,-5,A,America/Toronto,Toronto,Canada,43.633,-79.419
104,Pitt Meadows Airport,BC Place,29.956129205543018,Pitt Meadows,Canada,\N,CYPK,49.21609878540039,-122.70999908447266,11,-8,A,America/Vancouver,Vancouver,Canada,49.277,-123.112
144,Billy Bishop Toronto City Centre Airport,BMO Field,1.934140173521466,Toronto,Canada,YTZ,CYTZ,43.627499,-79.396202,252,-5,A,America/Toronto,Toronto,Canada,43.633,-79.419
156,Vancouver International Airport,BC Place,10.616347034407049,Vancouver,Canada,YVR,CYVR,49.193901062,-123.183998108,14,-8,A,America/Vancouver,Vancouver,Canada,49.277,-123.112
175,Abbotsford Airport,BC Place,61.372163720726256,Abbotsford,Canada,YXX,CYXX,49.025299072265625,-122.36100006103516,195,-8,A,America/Vancouver,Vancouver,Canada,49.277,-123.112
193,Lester B. Pearson International Airport,BMO Field,17.71860007387356,Toronto,Canada,YYZ,CYYZ,43.6772003174,-79.63059997559999,569,-5,A,America/Toronto,Toronto,Canada,43.633,-79.419
194,Downsview Airport,BMO Field,12.73935177494352,Toronto,Canada,YZD,CYZD,43.74250030517578,-79.4655990600586,652,-5,A,America/Toronto,Toronto,Canada,43.633,-79.419
1784,Del Norte International Airport,Estadio BBVA,21.883956853115368,Monterrey,Mexico,NTR,MMAN,25.865601,-100.237,1476,-6,S,America/Mexico_City,Guadalupe,Mexico,25.669,-100.247
1787,General Mariano Matamoros Airport,Estadio Azteca,53.336236696468816,Cuernavaca,Mexico,CVJ,MMCB,18.834800720214844,-99.26129913330078,4277,-6,S,America/Mexico_City,Mexico City,Mexico,19.303,-99.151
1804,Don Miguel Hidalgo Y Costilla International Airport,Estadio Akron,24.68397472707393,Guadalajara,Mexico,GDL,MMGL,20.521799087524418,-103.31099700927734,5016,-6,S,America/Mexico_City,Zapopan,Mexico,20.689,-103.467
1810,Plan De Guadalupe International Airport,Estadio BBVA,69.66412798017214,Saltillo,Mexico,SLW,MMIO,25.54949951171875,-100.9290008544922,4778,-6,S,America/Mexico_City,Guadalupe,Mexico,25.669,-100.247
1824,Licenciado Benito Juarez International Airport,Estadio Azteca,16.976668265114725,Mexico City,Mexico,MEX,MMMX,19.4363,-99.072098,7316,-6,S,America/Mexico_City,Mexico City,Mexico,19.303,-99.151
1825,General Mariano Escobedo International Airport,Estadio BBVA,18.572318706729526,Monterrey,Mexico,MTY,MMMY,25.7784996033,-100.107002258,1278,-6,S,America/Mexico_City,Guadalupe,Mexico,25.669,-100.247
1850,Licenciado Adolfo Lopez Mateos International Airport,Estadio Azteca,43.71214307013918,Toluca,Mexico,TLC,MMTO,19.3370990753,-99.56600189210002,8466,-6,S,America/Mexico_City,Mexico City,Mexico,19.303,-99.151
1859,Zapopan Airport,Estadio Akron,6.574895943106437,Zapopan,Mexico,\N,MMZP,20.747922,-103.461709,5333,-6,S,America/Mexico_City,Zapopan,Mexico,20.689,-103.467
3425,Laurence G Hanscom Field,Gillette Stadium,42.193175499456366,Bedford,United States,BED,KBED,42.47000122,-71.28900146,133,-5,A,America/New_York,Foxborough,USA,42.091,-71.264
3447,Trenton Mercer Airport,Lincoln Financial Field,51.52339700422132,Trenton,United States,TTN,KTTN,40.27669906616211,-74.8134994506836,213,-5,A,America/New_York,Philadelphia,USA,39.901,-75.168
3448,General Edward Lawrence Logan International Airport,Gillette Stadium,37.115802032334706,Boston,United States,BOS,KBOS,42.36429977,-71.00520325,20,-5,A,America/New_York,Foxborough,USA,42.091,-71.264
3453,Metropolitan Oakland International Airport,Levi's Stadium,41.73900124136388,Oakland,United States,OAK,KOAK,37.721298,-122.221001,9,-8,A,America/Los_Angeles,Santa Clara,USA,37.403,-121.97
3458,Kansas City International Airport,Arrowhead Stadium,34.012973733439964,Kansas City,United States,MCI,KMCI,39.2976,-94.713898,1026,-6,A,America/Chicago,Kansas City,USA,39.049,-94.484
3464,Fort Lauderdale Executive Airport,Hard Rock Stadium,27.469402211300785,Fort Lauderdale,United States,FXE,KFXE,26.1972999573,-80.1707000732,13,-5,A,America/New_York,Miami Gardens,USA,25.958,-80.239
3468,North Perry Airport,Hard Rock Stadium,4.80662555356525,Hollywood,United States,HWO,KHWO,26.0012,-80.2407,8,-5,A,America/New_York,Miami Gardens,USA,25.958,-80.239
3469,San Francisco International Airport,Levi's Stadium,43.04604747484669,San Francisco,United States,SFO,KSFO,37.61899948120117,-122.375,13,-8,A,America/Los_Angeles,Santa Clara,USA,37.403,-121.97
3484,Los Angeles International Airport,SoFi Stadium,6.470576991951525,Los Angeles,United States,LAX,KLAX,33.94250107,-118.4079971,125,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339
3494,Newark Liberty International Airport,MetLife Stadium,15.646640584080043,Newark,United States,EWR,KEWR,40.692501068115234,-74.168701171875,18,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075
