camp_airport_dist_km,AirportID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TzDatabaseTimezone,Type,team,city_camp,country_camp,camp_name,camp_lat,camp_long
49.69504443110012,33,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,airport,Canada,Vancouver,CAN,National Soccer Development Centre,49.2444,-123.251
50.48478497049065,82,Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,43.86220169067383,-79.37000274658203,650,-5,A,America/Toronto,airport,Panama,New Tecumseth,CAN,Nottawasaga Training Site,44.143,-79.866
39.40924861318351,104,Pitt Meadows Airport,Pitt Meadows,Canada,\N,CYPK,49.21609878540039,-122.70999908447266,11,-8,A,America/Vancouver,airport,Canada,Vancouver,CAN,National Soccer Development Centre,49.2444,-123.251
68.57997928470486,144,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ,43.627499,-79.396202,252,-5,A,America/Toronto,airport,Panama,New Tecumseth,CAN,Nottawasaga Training Site,44.143,-79.866
7.4304361862054025,156,Vancouver International Airport,Vancouver,Canada,YVR,CYVR,49.193901062,-123.183998108,14,-8,A,America/Vancouver,airport,Canada,Vancouver,CAN,National Soccer Development Centre,49.2444,-123.251
69.18113634862566,175,Abbotsford Airport,Abbotsford,Canada,YXX,CYXX,49.025299072265625,-122.36100006103516,195,-8,A,America/Vancouver,airport,Canada,Vancouver,CAN,National Soccer Development Centre,49.2444,-123.251
67.65697326805393,184,Victoria International Airport,Victoria,Canada,YYJ,CYYJ,48.646900177,-123.426002502,63,-8,A,America/Vancouver,airport,Canada,Vancouver,CAN,National Soccer Development Centre,49.2444,-123.251
55.1205202703874,193,Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.6772003174,-79.63059997559999,569,-5,A,America/Toronto,airport,Panama,New Tecumseth,CAN,Nottawasaga Training Site,44.143,-79.866
54.87181396814839,194,Downsview Airport,Toronto,Canada,YZD,CYZD,43.74250030517578,-79.4655990600586,652,-5,A,America/Toronto,airport,Panama,New Tecumseth,CAN,Nottawasaga Training Site,44.143,-79.866
15.99905781728781,1784,Del Norte International Airport,Monterrey,Mexico,NTR,MMAN,25.865601,-100.237,1476,-6,S,America/Mexico_City,airport,Tunisia,Monterrey,MEX,Rayados Training Centre,25.722,-100.247
