origin_stadium,destination_stadium,total_direct_flights,n_direct_routes,n_reachable_routes,avg_direct_distance_km,avg_path_distance_km,min_path_distance_km,avg_drive_distance_km,haversine_distance
AT&T Stadium,Arrowhead Stadium,4,2,2,742.0700286996635,742.0700286996635,741.6552977251807,55.222684874564976,738.9015657321448
AT&T Stadium,BC Place,3,1,8,2819.345672062104,4039.0792649760097,2819.345672062104,71.34886281083101,2828.3853074593885
AT&T Stadium,BMO Field,5,1,8,1928.411126888579,3620.363449865348,1928.411126888579,60.06594349724363,1955.2438660680677
AT&T Stadium,Estadio Akron,2,1,2,1509.6324345254557,1511.5061215553083,1509.6324345254557,45.89368586819894,1481.9272494368524
AT&T Stadium,Estadio Azteca,5,1,4,1510.334372713104,1891.748538887462,1510.334372713104,51.55411680875196,1508.9808715662268
AT&T Stadium,Estadio BBVA,2,1,4,845.4441181823062,1249.0044138356377,845.4441181823062,65.32793448457583,844.4368615255888
AT&T Stadium,Gillette Stadium,4,1,8,2509.268905512098,3985.1123919613033,2509.268905512098,67.65346319838675,2493.5035272311943
AT&T Stadium,Hard Rock Stadium,5,2,4,1800.5463198616305,1953.1628319237198,1798.9239552855793,38.42217122669561,1796.5372175813407
AT&T Stadium,Levi's Stadium,9,4,6,2342.9635061369163,2824.0543644159584,2310.2147905513393,51.39507222765872,2314.95809591319
AT&T Stadium,Lincoln Financial Field,3,1,6,2092.8766575973477,3203.143750477617,2092.8766575973477,55.68811791469215,2112.0776617242823
AT&T Stadium,Lumen Field,4,2,2,2676.2740858663224,2676.2740858663224,2668.1529866142673,37.53568423064273,2685.494702488524
AT&T Stadium,Mercedes-Benz Stadium,13,2,2,1166.279103501985,1166.279103501985,1158.0263834002938,34.600875284509925,1184.759270508731
AT&T Stadium,MetLife Stadium,10,3,12,2223.6819627385107,3188.783901269109,2199.9109952864233,44.435941206944655,2228.842961845557
AT&T Stadium,NRG Stadium,8,4,4,373.78291171653825,373.78291171653825,349.0842905807613,44.941573834960295,376.2612542579268
AT&T Stadium,SoFi Stadium,11,3,12,1942.1250710001195,8495.085614997413,1908.3421049477743,56.44184075855366,1974.4263964103886
Arrowhead Stadium,AT&T Stadium,4,2,2,742.0700286996635,742.0700286996635,741.6552977251807,55.222684874564976,738.9015657321448
Arrowhead Stadium,BC Place,0,0,4,,3669.8669300116617,3365.7450801825084,84.15212540314597,2530.209130681861
Arrowhead Stadium,BMO Field,1,1,4,1345.017171860455,3505.465879947029,1345.017171860455,72.86920608955859,1354.5494097488508
Arrowhead Stadium,Estadio Akron,0,0,1,,2251.2877322506365,2251.2877322506365,58.696948460513894,2214.7066186764646
Arrowhead Stadium,Estadio Azteca,0,0,2,,3474.331066487779,3447.8614434725678,64.35737940106691,2241.0317193600254
Arrowhead Stadium,Estadio BBVA,0,0,2,,2693.660388804936,1775.472512945949,78.1311970768908,1582.248136253961
Arrowhead Stadium,Gillette Stadium,1,1,4,2016.8494852741728,2654.8515381340203,2016.8494852741728,80.4567257907017,1983.8608515287265
Arrowhead Stadium,Hard Rock Stadium,1,1,2,1999.5433464692665,2035.9917022601508,1999.5433464692665,51.22543381901056,1970.6577598683682
Arrowhead Stadium,Levi's Stadium,3,2,3,2398.4737579170196,2616.27253470352,2390.597016188281,64.19833481997368,2398.783543282117
Arrowhead Stadium,Lincoln Financial Field,3,1,3,1666.6625314341672,2412.1787124782,1666.6625314341672,68.4913805070071,1657.39344457468
Arrowhead Stadium,Lumen Field,3,1,1,2391.602126430065,2391.602126430065,2391.602126430065,50.33894682295769,2428.177072010463
Arrowhead Stadium,Mercedes-Benz Stadium,8,1,1,1113.3754977833473,1113.3754977833473,1113.3754977833473,47.40413787682489,1076.381935324036
Arrowhead Stadium,MetLife Stadium,2,2,6,1765.352917868574,2168.7478203570067,1753.0123150544425,57.23920379925962,1747.213902536305
Arrowhead Stadium,NRG Stadium,2,2,2,1055.8398030637372,1055.8398030637372,1037.1619809238491,57.744836427275246,1044.6812689136077
Arrowhead Stadium,SoFi Stadium,3,1,6,2189.652649150308,8187.749067943656,2189.652649150308,69.24510335086862,2199.131960322046
BC Place,AT&T Stadium,3,1,8,2819.345672062104,5437.32249286866,2819.345672062104,71.34886281083101,2828.3853074593885
BC Place,Arrowhead Stadium,0,0,4,,3463.9280239704876,2541.989456017813,84.15212540314597,2530.209130681861
BC Place,BMO Field,3,1,16,3345.5122416963595,6882.160143908927,3345.5122416963595,88.99538402582462,3356.7643289887883
BC Place,Estadio Akron,0,0,4,,4371.089829138351,3791.8826220423334,74.82312639677994,3623.7040603965647
BC Place,Estadio Azteca,1,1,8,3944.6936326522236,4493.191976189244,3941.7370355983985,80.48355733733295,3957.560965978059
BC Place,Estadio BBVA,0,0,8,,4499.497805104137,3368.411411296698,94.25737501315683,3283.5300255582797
BC Place,Gillette Stadium,0,0,16,,6355.0536245683625,5330.7028458797595,96.58290372696774,4023.9183803653586
BC Place,Hard Rock Stadium,0,0,8,,4987.885716304939,4517.995093546548,67.35161175527661,4491.502214343331
BC Place,Levi's Stadium,4,2,12,1260.0335837635891,4348.907305656213,1231.359526482237,80.32451275623973,1323.512161068749
BC Place,Lincoln Financial Field,0,0,12,,6459.442179828518,4262.711892199356,84.61755844327315,3866.7165651060645
BC Place,Lumen Field,6,2,5,177.45485501514847,485.813659182976,145.01381580668908,67.67456777464932,195.67877791401654
BC Place,Mercedes-Benz Stadium,0,0,4,,4180.965880149375,3764.3027481404756,63.53031581309093,3602.2936839197646
BC Place,MetLife Stadium,4,2,24,3914.775830009571,5732.457605635206,3899.164219243416,73.36538173552566,3893.004488158814
BC Place,NRG Stadium,1,1,8,3169.365226691892,3523.1895562175127,3169.365226691892,73.87101436354129,3191.3385244470182
BC Place,SoFi Stadium,8,3,24,1735.8264309911303,7638.4008084420175,1672.7067651523348,85.37128128713466,1748.6211773261903
BMO Field,AT&T Stadium,5,1,8,1928.411126888579,3655.4610456116015,1928.411126888579,60.06594349724363,1955.2438660680677
BMO Field,Arrowhead Stadium,1,1,4,1345.017171860455,3167.71890649122,1345.017171860455,72.86920608955859,1354.5494097488508
BMO Field,BC Place,3,1,16,3345.5122416963595,5645.761217770574,3345.5122416963595,88.99538402582463,3356.7643289887883
BMO Field,Estadio Akron,0,0,4,,4809.5916108714555,3492.0102970286234,63.540207083192556,3385.316178267746
BMO Field,Estadio Azteca,2,1,8,3246.6656933310383,4681.661550531504,3246.6656933310383,69.20063802374557,3270.8891790286375
BMO Field,Estadio BBVA,0,0,8,,4669.296809048131,3770.335965575189,82.97445569956946,2744.7943659637262
BMO Field,Gillette Stadium,3,2,16,706.1439266824973,3112.42376066155,696.4037078508145,85.29998441338036,686.1134102051846
BMO Field,Hard Rock Stadium,9,3,8,1948.316091808312,3437.012078248918,1897.3315792158785,56.06869244168922,1966.7682898097084
BMO Field,Levi's Stadium,2,1,12,3627.2960565352373,5261.346227044828,3627.2960565352373,69.04159344265234,3622.0860232543932
BMO Field,Lincoln Financial Field,4,1,12,557.9822323316698,3100.0334103822825,557.9822323316698,73.33463912968575,544.364030773651
BMO Field,Lumen Field,1,1,4,3306.641002167467,4468.278201824557,3306.641002167467,55.18220544563634,3323.514761278438
BMO Field,Mercedes-Benz Stadium,5,1,4,1191.0770519839973,3185.6005551788085,1191.0770519839973,52.247396499503544,1179.8264722758836
BMO Field,MetLife Stadium,15,4,24,565.2641367472423,2879.8760533247228,540.3414184286216,62.08246242193827,540.0866900513589
BMO Field,NRG Stadium,2,1,8,2060.0815779209825,3625.683841923288,2060.0815779209825,62.58809504995391,2099.703545302651
BMO Field,SoFi Stadium,5,1,24,3493.9481090046993,9976.731059534359,3452.0203314400533,74.08836197354726,3504.4115924053435
Estadio Akron,AT&T Stadium,2,1,2,1509.6324345254557,2515.7538264895757,1509.6324345254557,45.89368586819894,1481.9272494368524
Estadio Akron,Arrowhead Stadium,0,0,1,,2251.2877322506365,2251.2877322506365,58.696948460513894,2214.7066186764646
Estadio Akron,BC Place,0,0,4,,4308.108648716759,3614.780544602073,74.82312639677994,3623.7040603965647
Estadio Akron,BMO Field,0,0,4,,4742.659298346844,3438.0435614140347,63.540207083192556,3385.316178267746
Estadio Akron,Estadio Azteca,6,2,2,436.0728504972468,436.0728504972468,413.03858281305065,55.02838039470088,476.5660925454171
Estadio Akron,Estadio BBVA,5,1,2,669.9625552654952,917.5256204842723,669.9625552654952,68.80219807052477,644.1015066916982
Estadio Akron,Gillette Stadium,0,0,4,,4580.725059464301,3817.2710787697306,71.12772678433566,3834.865320028438
Estadio Akron,Hard Rock Stadium,0,0,2,,2909.18571410096,2509.815038390885,41.89643481264453,2439.293616228491
Estadio Akron,Levi's Stadium,8,3,3,2626.806443201016,2626.806443201016,2595.46504942275,54.86933581360765,2576.468850342827
Estadio Akron,Lincoln Financial Field,0,0,3,,3585.2163461375726,3435.441788162766,59.16238150064107,3430.0966897312196
Estadio Akron,Lumen Field,0,0,1,,4177.7854211397225,4177.7854211397225,41.009947816591655,3438.448384553642
Estadio Akron,Mercedes-Benz Stadium,6,1,1,2363.848835053402,2363.848835053402,2363.848835053402,38.07513887045886,2372.8154198015454
Estadio Akron,MetLife Stadium,0,0,6,,4017.485014593263,3714.422575202534,47.91020479289358,3561.1178025178633
Estadio Akron,NRG Stadium,1,1,2,1321.6909306651462,1614.813344823213,1321.6909306651462,48.41583742090921,1286.5752478614622
Estadio Akron,SoFi Stadium,11,3,6,2071.1640150979256,7767.661838618836,2048.6739107625503,59.91610434450258,2076.9971661405443
Estadio Azteca,AT&T Stadium,5,1,4,1510.334372713104,2336.179912084856,1510.334372713104,51.55411680875196,1508.9808715662268
