,team,total_direct_dist_km,travel_dist_km,all_driving_dist_km,direct_driving_dist_km,total_drive_to_airport_dist_km,total_flight_dist_km,border_crossings,no_direct_flights,same_stadium_count,drivable_count,total_distance
0,Algeria,4797.567086564234,4909.59070201651,128.39666963994736,0.0,128.39666963994736,4781.194032376562,0,0,0,0,4936.193551849508
1,Argentina,738.9015657321448,796.8779825997457,55.222684874564976,0.0,55.222684874564976,741.6552977251807,0,0,1,1,2946.4866854214883
2,Australia,1329.3623784457232,1323.8851207916534,242.19011209006797,195.67877791401654,46.51133417605144,1081.6950087015855,1,0,0,1,4843.982793113581
3,Austria,3053.8596616453347,3158.4878453787437,106.61775710222369,0.0,106.61775710222369,3051.87008827652,0,0,0,0,9610.167317585412
4,Belgium,3301.796873649735,3332.7613861433492,136.92938399408104,0.0,136.92938399408104,3195.832002149268,1,0,0,0,3524.766826704247
5,Bosnia and Herzegovina,5057.587288728888,5087.302440546688,125.64646468049364,0.0,125.64646468049364,4961.655975866194,1,0,0,0,9508.215945603617
6,Brazil,1757.648623832568,1789.733567282949,189.1061039775836,137.41523711844584,51.69086685913774,1600.6274633053654,0,0,0,1,3770.454077760282
7,Canada,3356.7643289887883,3434.507625722184,88.99538402582463,0.0,88.99538402582463,3345.5122416963595,0,0,1,1,6777.24042249038
8,Cape Verde,2502.2539972365885,2545.8172761417604,71.5479470083614,0.0,71.5479470083614,2474.269329133399,0,0,0,0,4503.540957999916
9,Colombia,2915.859708773908,3028.2775657489465,518.4625273580616,476.5660925454171,41.89643481264453,2509.815038390885,1,1,0,1,5812.615178764778
10,Croatia,2499.6078968417187,2619.7939418471783,133.40058262692938,0.0,133.40058262692938,2486.393359220249,2,0,0,0,5393.012404398461
11,Curaçao,2702.0747134882877,2830.0607292922987,126.23621693428234,0.0,126.23621693428234,2703.8245123580164,0,0,0,0,10124.23621121974
12,Czechia,4543.841835014474,4589.054049457065,81.81070868147074,0.0,81.81070868147074,4507.243340775594,2,0,0,0,8281.306021399327
13,DR Congo,3659.3906676630077,3772.0307420099166,86.49097629136807,0.0,86.49097629136807,3685.5397657185486,2,0,0,0,4851.017849805065
14,Ecuador,3404.607347110985,3545.4054307948763,125.7305843062667,0.0,125.7305843062667,3419.6748464886095,0,0,0,0,4836.675165556959
15,Egypt,391.35755582803307,391.35755582803307,391.35755582803307,391.35755582803307,0.0,0.0,2,0,0,2,2393.7929404204983
16,England,2767.426434783564,2850.845276262855,341.5763707507569,273.92290755237013,67.65346319838675,2509.268905512098,0,0,0,1,8952.990819091146
17,France,545.5694873362562,545.5694873362562,545.5694873362562,545.5694873362562,0.0,0.0,0,0,0,2,1519.037330109431
18,Germany,2639.79023535401,2725.0935538214962,124.67055747189217,0.0,124.67055747189217,2600.422996349604,2,0,0,0,6336.178975074413
