match,group,date,time,tz,team1,team2,stadium,city_name,country,lat,lon,kickoff,temperature_2m,relative_humidity_2m,elevation,apparent_temperature,team1_camp_name,team1_camp_latitude,team1_camp_longitude,team1_orig_team,team1_elevation,team1_temperature_2m,team1_relative_humidity_2m,team1_apparent_temperature,team2_camp_name,team2_camp_latitude,team2_camp_longitude,team2_orig_team,team2_elevation,team2_temperature_2m,team2_relative_humidity_2m,team2_apparent_temperature
1,A,2026-06-11,13:00,UTC-6,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,19.303,-99.151,2026-06-11 13:00:00,25.1,33.8,2251.0,25.286666666666655,Centro de Alto Rendimiento (CAR),19.437609,-99.10715,Mexico,2231.0,18.40276315789474,66.03464912280701,17.85236842105263,CF Pachuca - Universidad Del Futbol,20.070297,-98.73874,South Africa,2365.0,16.376535087719297,71.90833333333333,15.167543859649124
2,A,2026-06-11,20:00,UTC-6,Korea Republic,Czechia,Estadio Akron,Zapopan,Mexico,20.689,-103.467,2026-06-11 20:00:00,24.206666666666667,47.8,1665.0,22.553333333333335,Chivas Verde Valle,20.702986,-103.45453,Korea Republic,1644.0,21.904605263157897,69.2232456140351,22.491666666666667,Mansfield Multipurpose Stadium,32.583477,-97.12546,Czechia,200.0,28.671754385964913,66.43815789473685,31.53666666666667
25,A,2026-06-18,12:00,UTC-4,Czechia,South Africa,Mercedes-Benz Stadium,Atlanta,USA,33.755,-84.401,2026-06-18 12:00:00,29.153333333333332,50.93333333333333,316.0,31.093333333333337,Mansfield Multipurpose Stadium,32.583477,-97.12546,Czechia,200.0,28.671754385964913,66.43815789473685,31.53666666666667,CF Pachuca - Universidad Del Futbol,20.070297,-98.73874,South Africa,2365.0,16.376535087719297,71.90833333333333,15.167543859649124
28,A,2026-06-18,19:00,UTC-6,Mexico,Korea Republic,Estadio Akron,Zapopan,Mexico,20.689,-103.467,2026-06-18 19:00:00,24.553333333333335,48.06666666666667,1665.0,23.466666666666665,Centro de Alto Rendimiento (CAR),19.437609,-99.10715,Mexico,2231.0,18.40276315789474,66.03464912280701,17.85236842105263,Chivas Verde Valle,20.702986,-103.45453,Korea Republic,1644.0,21.904605263157897,69.2232456140351,22.491666666666667
53,A,2026-06-24,19:00,UTC-6,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,19.303,-99.151,2026-06-24 19:00:00,18.8,64.8,2251.0,18.2,Mansfield Multipurpose Stadium,32.583477,-97.12546,Czechia,200.0,28.671754385964913,66.43815789473685,31.53666666666667,Centro de Alto Rendimiento (CAR),19.437609,-99.10715,Mexico,2231.0,18.40276315789474,66.03464912280701,17.85236842105263
54,A,2026-06-24,19:00,UTC-6,South Africa,Korea Republic,Estadio BBVA,Guadalupe,Mexico,25.669,-100.247,2026-06-24 19:00:00,30.966666666666676,48.666666666666664,494.0,31.566666666666663,CF Pachuca - Universidad Del Futbol,20.070297,-98.73874,South Africa,2365.0,16.376535087719297,71.90833333333333,15.167543859649124,Chivas Verde Valle,20.702986,-103.45453,Korea Republic,1644.0,21.904605263157897,69.2232456140351,22.491666666666667
3,B,2026-06-12,15:00,UTC-4,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,43.633,-79.419,2026-06-12 15:00:00,21.57333333333333,63.333333333333336,83.0,22.19333333333333,National Soccer Development Centre,49.244286,-123.133575,Canada,0.0,16.23574561403509,75.84166666666667,15.60359649122807,RSL Stadium,40.597538,-111.895325,Bosnia and Herzegovina,1350.0,23.916052631578943,25.87061403508772,20.818771929824564
8,B,2026-06-13,12:00,UTC-7,Qatar,Switzerland,Levi's Stadium,Santa Clara,USA,37.403,-121.97,2026-06-13 12:00:00,22.44666666666667,47.0,3.0,22.76,Westmont College,34.481544,-119.69774,Qatar,157.0,20.672236842105264,61.52456140350877,21.214254385964914,SDJA,32.93497,-117.242645,Switzerland,66.0,18.96798245614035,77.4828947368421,19.705043859649123
26,B,2026-06-18,12:00,UTC-7,Switzerland,Bosnia and Herzegovina,SoFi Stadium,Inglewood,USA,33.953,-118.339,2026-06-18 12:00:00,25.426666666666662,48.333333333333336,38.0,26.466666666666665,SDJA,32.93497,-117.242645,Switzerland,66.0,18.96798245614035,77.4828947368421,19.705043859649123,RSL Stadium,40.597538,-111.895325,Bosnia and Herzegovina,1350.0,23.916052631578943,25.87061403508772,20.818771929824564
27,B,2026-06-18,15:00,UTC-7,Canada,Qatar,BC Place,Vancouver,Canada,49.277,-123.112,2026-06-18 15:00:00,16.846666666666668,63.13333333333333,18.0,16.073333333333334,National Soccer Development Centre,49.244286,-123.133575,Canada,0.0,16.23574561403509,75.84166666666667,15.60359649122807,Westmont College,34.481544,-119.69774,Qatar,157.0,20.672236842105264,61.52456140350877,21.214254385964914
