match,group,date,time,tz,team1,team2,stadium,city_name,country,lat,lon
1,A,2026-06-11,13:00,UTC-6,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,19.303,-99.151
2,A,2026-06-11,20:00,UTC-6,Korea Republic,Czechia,Estadio Akron,Zapopan,Mexico,20.689,-103.467
25,A,2026-06-18,12:00,UTC-4,Czechia,South Africa,Mercedes-Benz Stadium,Atlanta,USA,33.755,-84.401
28,A,2026-06-18,19:00,UTC-6,Mexico,Korea Republic,Estadio Akron,Zapopan,Mexico,20.689,-103.467
53,A,2026-06-24,19:00,UTC-6,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,19.303,-99.151
54,A,2026-06-24,19:00,UTC-6,South Africa,Korea Republic,Estadio BBVA,Guadalupe,Mexico,25.669,-100.247
3,B,2026-06-12,15:00,UTC-4,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,43.633,-79.419
8,B,2026-06-13,12:00,UTC-7,Qatar,Switzerland,Levi's Stadium,Santa Clara,USA,37.403,-121.97
26,B,2026-06-18,12:00,UTC-7,Switzerland,Bosnia and Herzegovina,SoFi Stadium,Inglewood,USA,33.953,-118.339
27,B,2026-06-18,15:00,UTC-7,Canada,Qatar,BC Place,Vancouver,Canada,49.277,-123.112
51,B,2026-06-24,12:00,UTC-7,Switzerland,Canada,BC Place,Vancouver,Canada,49.277,-123.112
52,B,2026-06-24,12:00,UTC-7,Bosnia and Herzegovina,Qatar,Lumen Field,Seattle,USA,47.595,-122.332
7,C,2026-06-13,18:00,UTC-4,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,40.814,-74.075
5,C,2026-06-13,21:00,UTC-4,Haiti,Scotland,Gillette Stadium,Foxborough,USA,42.091,-71.264
30,C,2026-06-19,18:00,UTC-4,Scotland,Morocco,Gillette Stadium,Foxborough,USA,42.091,-71.264
29,C,2026-06-19,20:30,UTC-4,Brazil,Haiti,Lincoln Financial Field,Philadelphia,USA,39.901,-75.168
49,C,2026-06-24,18:00,UTC-4,Scotland,Brazil,Hard Rock Stadium,Miami Gardens,USA,25.958,-80.239
50,C,2026-06-24,18:00,UTC-4,Morocco,Haiti,Mercedes-Benz Stadium,Atlanta,USA,33.755,-84.401
4,D,2026-06-12,18:00,UTC-7,USA,Paraguay,SoFi Stadium,Inglewood,USA,33.953,-118.339
6,D,2026-06-13,21:00,UTC-7,Australia,Türkiye,BC Place,Vancouver,Canada,49.277,-123.112
32,D,2026-06-19,12:00,UTC-7,USA,Australia,Lumen Field,Seattle,USA,47.595,-122.332
31,D,2026-06-19,20:00,UTC-7,Türkiye,Paraguay,Levi's Stadium,Santa Clara,USA,37.403,-121.97
59,D,2026-06-25,19:00,UTC-7,Türkiye,USA,SoFi Stadium,Inglewood,USA,33.953,-118.339
60,D,2026-06-25,19:00,UTC-7,Paraguay,Australia,Levi's Stadium,Santa Clara,USA,37.403,-121.97
10,E,2026-06-14,12:00,UTC-5,Germany,Curaçao,NRG Stadium,Houston,USA,29.685,-95.411
9,E,2026-06-14,19:00,UTC-4,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,USA,39.901,-75.168
33,E,2026-06-20,16:00,UTC-4,Germany,Ivory Coast,BMO Field,Toronto,Canada,43.633,-79.419
34,E,2026-06-20,19:00,UTC-5,Ecuador,Curaçao,Arrowhead Stadium,Kansas City,USA,39.049,-94.484
55,E,2026-06-25,16:00,UTC-4,Curaçao,Ivory Coast,Lincoln Financial Field,Philadelphia,USA,39.901,-75.168
56,E,2026-06-25,16:00,UTC-4,Ecuador,Germany,MetLife Stadium,East Rutherford,USA,40.814,-74.075
