,city_name,country,capacity,lat,lon,stadium
0,Mexico City,Mexico,83000,19.303,-99.151,Estadio Azteca
1,Guadalupe,Mexico,53500,25.669,-100.247,Estadio BBVA
2,Zapopan,Mexico,48000,20.689,-103.467,Estadio Akron
3,Dallas,USA,94000,32.748,-97.093,AT&T Stadium
4,Houston,USA,72000,29.685,-95.411,NRG Stadium
5,East Rutherford,USA,82500,40.814,-74.075,MetLife Stadium
6,Atlanta,USA,75000,33.755,-84.401,Mercedes-Benz Stadium
7,Kansas City,USA,73000,39.049,-94.484,Arrowhead Stadium
8,Santa Clara,USA,71000,37.403,-121.97,Levi's Stadium
9,Inglewood,USA,70000,33.953,-118.339,SoFi Stadium
10,Philadelphia,USA,69000,39.901,-75.168,Lincoln Financial Field
11,Foxborough,USA,65000,42.091,-71.264,Gillette Stadium
12,Miami Gardens,USA,65000,25.958,-80.239,Hard Rock Stadium
13,Seattle,USA,69000,47.595,-122.332,Lumen Field
14,Vancouver,Canada,54000,49.277,-123.112,BC Place
15,Toronto,Canada,45000,43.633,-79.419,BMO Field
