group,day,team_1,team_2,date,stadium,hour_utc,apparent_temperature,stad_elevation,camp_elev_t1,camp_elev_t2
A,1,Korea Republic,Czechia,2026-06-14,Estadio Akron,0,24.913333333333338,1665,1644,200
A,1,Mexico,South Africa,2026-06-13,Estadio Azteca,21,23.546666666666667,2251,2231,2365
A,2,Czechia,South Africa,2026-06-19,Estadio BBVA,3,28.833333333333336,494,200,2365
A,2,Mexico,Korea Republic,2026-06-20,Estadio Akron,2,20.94666666666667,1665,2231,1644
A,3,South Africa,Korea Republic,2026-06-27,Estadio Azteca,2,15.939999999999998,2251,2365,1644
A,3,Czechia,Mexico,2026-06-27,Estadio BBVA,2,29.60666666666667,494,200,2231
B,1,Qatar,Switzerland,2026-06-12,Lumen Field,22,18.38,10,157,66
B,1,Canada,Bosnia and Herzegovina,2026-06-12,BC Place,21,16.46666666666667,18,0,1350
B,2,Canada,Qatar,2026-06-19,BC Place,20,15.906666666666666,18,0,157
B,2,Switzerland,Bosnia and Herzegovina,2026-06-18,Lumen Field,22,16.026666666666664,10,66,1350
B,3,Switzerland,Canada,2026-06-27,BMO Field,19,24.039999999999996,83,66,0
B,3,Bosnia and Herzegovina,Qatar,2026-06-27,Lumen Field,19,21.693333333333335,10,1350,157
C,1,Haiti,Scotland,2026-06-15,Lumen Field,21,16.35333333333333,10,25,220
C,1,Brazil,Morocco,2026-06-16,BC Place,22,16.153333333333332,18,4,90
C,2,Scotland,Morocco,2026-06-21,Lumen Field,22,22.320000000000004,10,220,90
C,2,Brazil,Haiti,2026-06-22,BC Place,22,19.793333333333333,18,4,25
C,3,Morocco,Haiti,2026-06-27,BC Place,21,23.326666666666668,18,90,25
C,3,Scotland,Brazil,2026-06-27,Levi's Stadium,21,25.353333333333335,3,220,4
D,1,Australia,Türkiye,2026-06-14,SoFi Stadium,20,26.346666666666668,38,9,405
D,1,USA,Paraguay,2026-06-14,Levi's Stadium,3,17.02,3,82,22
D,2,Türkiye,Paraguay,2026-06-19,SoFi Stadium,19,25.09333333333333,38,405,22
D,2,USA,Australia,2026-06-20,Levi's Stadium,3,16.133333333333336,3,82,9
D,3,Paraguay,Australia,2026-06-24,Levi's Stadium,3,17.09333333333333,3,22,9
D,3,Türkiye,USA,2026-06-24,Lumen Field,3,17.626666666666665,10,405,82
E,1,Germany,Curaçao,2026-06-11,Mercedes-Benz Stadium,16,28.980000000000008,316,292,8
E,1,Ivory Coast,Ecuador,2026-06-11,MetLife Stadium,19,22.773333333333333,4,10,225
E,2,Ecuador,Curaçao,2026-06-17,Lincoln Financial Field,20,27.53333333333334,1,225,8
E,2,Germany,Ivory Coast,2026-06-17,BMO Field,19,24.133333333333333,83,292,10
E,3,Ecuador,Germany,2026-06-27,Mercedes-Benz Stadium,22,30.399999999999995,316,225,292
E,3,Curaçao,Ivory Coast,2026-06-27,Lincoln Financial Field,22,27.92666666666667,1,8,10
F,1,Netherlands,Japan,2026-06-14,AT&T Stadium,2,30.47333333333334,193,227,155
F,1,Sweden,Tunisia,2026-06-15,NRG Stadium,22,35.05333333333333,14,186,479
F,2,Netherlands,Sweden,2026-06-21,NRG Stadium,22,34.34,14,227,186
F,2,Tunisia,Japan,2026-06-21,AT&T Stadium,2,30.90666666666667,193,479,155
F,3,Japan,Sweden,2026-06-27,Arrowhead Stadium,1,27.293333333333333,259,155,186
F,3,Tunisia,Netherlands,2026-06-27,AT&T Stadium,1,34.00666666666667,193,479,227
G,1,Belgium,Egypt,2026-06-11,SoFi Stadium,21,23.37333333333333,38,42,584
G,1,Iran,New Zealand,2026-06-11,Levi's Stadium,2,20.153333333333332,3,164,66
G,2,New Zealand,Egypt,2026-06-17,Levi's Stadium,20,25.026666666666664,3,66,584
G,2,Belgium,Iran,2026-06-17,AT&T Stadium,2,31.800000000000004,193,42,164
G,3,New Zealand,Belgium,2026-06-24,SoFi Stadium,2,19.08,38,66,42
G,3,Egypt,Iran,2026-06-24,AT&T Stadium,2,33.559999999999995,193,584,164
