group,day,team_1,team_2,date,stadium,hour_utc,apparent_temperature,stad_elevation,camp_elev_t1,camp_elev_t2
A,1,Korea Republic,Czechia,2026-06-12,AT&T Stadium,3,29.31333333,193,1644,200
A,1,Mexico,South Africa,2026-06-13,Estadio Akron,6,19.26,1665,2231,2365
A,2,Czechia,South Africa,2026-06-22,AT&T Stadium,2,31.37333333,193,200,2365
A,2,Mexico,Korea Republic,2026-06-23,Estadio BBVA,5,27.72,494,2231,1644
A,3,South Africa,Korea Republic,2026-06-27,Mercedes-Benz Stadium,2,27.25333333,316,2365,1644
A,3,Czechia,Mexico,2026-06-27,Estadio BBVA,2,29.60666667,494,200,2231
B,1,Qatar,Switzerland,2026-06-14,SoFi Stadium,2,20.35333333,38,157,66
B,1,Canada,Bosnia and Herzegovina,2026-06-15,BMO Field,20,20.79333333,83,0,1350
B,2,Canada,Qatar,2026-06-20,BC Place,23,18.01333333,18,0,157
B,2,Switzerland,Bosnia and Herzegovina,2026-06-20,SoFi Stadium,2,19.86666667,38,66,1350
B,3,Switzerland,Canada,2026-06-24,BC Place,2,18.27333333,18,66,0
B,3,Bosnia and Herzegovina,Qatar,2026-06-24,Gillette Stadium,2,21.5,84,1350,157
C,1,Haiti,Scotland,2026-06-14,BC Place,23,15.4,18,25,220
C,1,Brazil,Morocco,2026-06-15,MetLife Stadium,21,22.44,4,4,90
C,2,Scotland,Morocco,2026-06-21,BMO Field,22,24.86666667,83,220,90
C,2,Brazil,Haiti,2026-06-21,Levi's Stadium,0,23.50666667,3,4,25
C,3,Morocco,Haiti,2026-06-27,BC Place,22,23.92666667,18,90,25
C,3,Scotland,Brazil,2026-06-27,MetLife Stadium,22,26.36,4,220,4
D,1,Australia,Türkiye,2026-06-14,Lumen Field,23,16.46,10,9,405
D,1,USA,Paraguay,2026-06-15,Levi's Stadium,1,19.34666667,3,82,22
D,2,Türkiye,Paraguay,2026-06-20,NRG Stadium,1,32.87333333,14,405,22
D,2,USA,Australia,2026-06-20,Lumen Field,4,15.32,10,82,9
D,3,Paraguay,Australia,2026-06-24,Levi's Stadium,4,15.87333333,3,22,9
D,3,Türkiye,USA,2026-06-24,NRG Stadium,4,31.83333333,14,405,82
E,1,Germany,Curaçao,2026-06-12,Levi's Stadium,22,26.29333333,3,292,8
E,1,Ivory Coast,Ecuador,2026-06-12,MetLife Stadium,17,23.93333333,4,10,225
E,2,Ecuador,Curaçao,2026-06-18,Hard Rock Stadium,2,29.88,5,225,8
E,2,Germany,Ivory Coast,2026-06-18,Levi's Stadium,22,25.55333333,3,292,10
E,3,Ecuador,Germany,2026-06-24,BMO Field,23,26.3,83,225,292
E,3,Curaçao,Ivory Coast,2026-06-24,Hard Rock Stadium,23,31.16,5,8,10
F,1,Netherlands,Japan,2026-06-12,BMO Field,19,22.19333333,83,227,155
