group,day,team_1,team_2,date,stadium,hour_utc,apparent_temperature,stad_elevation,camp_elev_t1,camp_elev_t2
A,1,Korea Republic,Czechia,2026-06-14,AT&T Stadium,2,30.47333333333334,193,1644,200
A,1,Mexico,South Africa,2026-06-13,Estadio Akron,2,21.65333333333333,1665,2231,2365
A,2,Czechia,South Africa,2026-06-21,AT&T Stadium,2,30.90666666666667,193,200,2365
A,2,Mexico,Korea Republic,2026-06-22,Estadio BBVA,4,28.44,494,2231,1644
A,3,South Africa,Korea Republic,2026-06-27,Arrowhead Stadium,2,26.066666666666663,259,2365,1644
A,3,Czechia,Mexico,2026-06-27,Estadio BBVA,2,29.60666666666667,494,200,2231
B,1,Qatar,Switzerland,2026-06-14,SoFi Stadium,2,20.35333333333333,38,157,66
B,1,Canada,Bosnia and Herzegovina,2026-06-14,BMO Field,21,20.22666666666667,83,0,1350
B,2,Canada,Qatar,2026-06-18,BC Place,21,15.953333333333337,18,0,157
B,2,Switzerland,Bosnia and Herzegovina,2026-06-18,SoFi Stadium,2,20.03333333333333,38,66,1350
B,3,Switzerland,Canada,2026-06-24,BC Place,1,18.540000000000003,18,66,0
B,3,Bosnia and Herzegovina,Qatar,2026-06-24,Gillette Stadium,1,22.21333333333333,84,1350,157
C,1,Haiti,Scotland,2026-06-15,NRG Stadium,0,32.58,14,25,220
C,1,Brazil,Morocco,2026-06-14,MetLife Stadium,21,22.706666666666667,4,4,90
C,2,Scotland,Morocco,2026-06-20,BMO Field,19,25.633333333333336,83,220,90
C,2,Brazil,Haiti,2026-06-20,MetLife Stadium,0,24.326666666666664,4,4,25
C,3,Morocco,Haiti,2026-06-27,BC Place,0,23.3,18,90,25
C,3,Scotland,Brazil,2026-06-27,Lincoln Financial Field,0,26.66666666666667,1,220,4
D,1,Australia,Türkiye,2026-06-14,Hard Rock Stadium,0,31.546666666666663,5,9,405
D,1,USA,Paraguay,2026-06-14,Levi's Stadium,3,17.02,3,82,22
D,2,Türkiye,Paraguay,2026-06-21,NRG Stadium,0,33.34,14,405,22
D,2,USA,Australia,2026-06-20,Levi's Stadium,3,16.133333333333336,3,82,9
D,3,Paraguay,Australia,2026-06-27,Levi's Stadium,1,20.513333333333332,3,22,9
D,3,Türkiye,USA,2026-06-27,Gillette Stadium,1,21.49333333333333,84,405,82
E,1,Germany,Curaçao,2026-06-18,Lincoln Financial Field,20,27.826666666666668,1,292,8
E,1,Ivory Coast,Ecuador,2026-06-17,MetLife Stadium,21,23.76,4,10,225
E,2,Ecuador,Curaçao,2026-06-23,MetLife Stadium,21,28.340000000000007,4,225,8
E,2,Germany,Ivory Coast,2026-06-23,Levi's Stadium,22,25.866666666666667,3,292,10
E,3,Ecuador,Germany,2026-06-27,BMO Field,19,24.04,83,225,292
E,3,Curaçao,Ivory Coast,2026-06-27,MetLife Stadium,19,27.326666666666664,4,8,10
F,1,Netherlands,Japan,2026-06-12,Gillette Stadium,19,22.97333333333334,84,227,155
F,1,Sweden,Tunisia,2026-06-12,NRG Stadium,0,33.52,14,186,479
F,2,Netherlands,Sweden,2026-06-18,Gillette Stadium,19,25.126666666666665,84,227,186
F,2,Tunisia,Japan,2026-06-17,BMO Field,19,24.133333333333333,83,479,155
F,3,Japan,Sweden,2026-06-24,BMO Field,23,26.3,83,155,186
F,3,Tunisia,Netherlands,2026-06-24,Arrowhead Stadium,23,34.306666666666665,259,479,227
G,1,Belgium,Egypt,2026-06-11,Lumen Field,19,15.22,10,42,584
G,1,Iran,New Zealand,2026-06-11,SoFi Stadium,1,19.38,38,164,66
G,2,New Zealand,Egypt,2026-06-15,Lumen Field,21,16.35333333333333,10,66,584
G,2,Belgium,Iran,2026-06-15,BC Place,22,15.3,18,42,164
G,3,New Zealand,Belgium,2026-06-21,BC Place,1,18.94,18,66,42
G,3,Egypt,Iran,2026-06-21,Gillette Stadium,1,19.84,84,584,164
H,1,Spain,Cape Verde,2026-06-12,Lincoln Financial Field,20,27.49333333333333,1,270,13
