group,day,team_1,team_2,date,stadium,hour_utc,apparent_temperature,stad_elevation,camp_elev_t1,camp_elev_t2
A,1,Korea Republic,Czechia,2026-06-17,Estadio BBVA,2,30.92,494,1644,200
A,1,Mexico,South Africa,2026-06-18,Estadio Azteca,21,22.72,2251,2231,2365
A,2,Czechia,South Africa,2026-06-22,AT&T Stadium,18,34.98,193,200,2365
A,2,Mexico,Korea Republic,2026-06-22,Estadio Akron,4,19.47333333,1665,2231,1644
A,3,South Africa,Korea Republic,2026-06-27,Estadio Akron,6,17.44666667,1665,2365,1644
A,3,Czechia,Mexico,2026-06-27,Estadio Azteca,6,14.78,2251,200,2231
B,1,Qatar,Switzerland,2026-06-17,SoFi Stadium,7,18.97333333,38,157,66
B,1,Canada,Bosnia and Herzegovina,2026-06-18,BC Place,22,16.07333333,18,0,1350
B,2,Canada,Qatar,2026-06-22,BC Place,23,19.67333333,18,0,157
B,2,Switzerland,Bosnia and Herzegovina,2026-06-23,SoFi Stadium,7,18.22666667,38,66,1350
B,3,Switzerland,Canada,2026-06-27,BMO Field,22,22.06,83,66,0
B,3,Bosnia and Herzegovina,Qatar,2026-06-27,Levi's Stadium,22,24.92666667,3,1350,157
C,1,Haiti,Scotland,2026-06-11,Lincoln Financial Field,16,24.11333333,1,25,220
C,1,Brazil,Morocco,2026-06-11,MetLife Stadium,20,22.47333333,4,4,90
C,2,Scotland,Morocco,2026-06-17,Lincoln Financial Field,16,26.71333333,1,220,90
C,2,Brazil,Haiti,2026-06-17,MetLife Stadium,23,22.86,4,4,25
C,3,Morocco,Haiti,2026-06-21,MetLife Stadium,22,26.11333333,4,90,25
C,3,Scotland,Brazil,2026-06-21,BMO Field,22,24.86666667,83,220,4
D,1,Australia,Türkiye,2026-06-14,Levi's Stadium,6,15.18666667,3,9,405
D,1,USA,Paraguay,2026-06-14,SoFi Stadium,3,19.62666667,38,82,22
D,2,Türkiye,Paraguay,2026-06-20,SoFi Stadium,6,18.28666667,38,405,22
D,2,USA,Australia,2026-06-20,Levi's Stadium,3,16.13333333,3,82,9
D,3,Paraguay,Australia,2026-06-26,Lumen Field,5,17.84666667,10,22,9
D,3,Türkiye,USA,2026-06-26,SoFi Stadium,5,19.24666667,38,405,82
E,1,Germany,Curaçao,2026-06-13,Hard Rock Stadium,22,33.28666667,5,292,8
E,1,Ivory Coast,Ecuador,2026-06-14,Lincoln Financial Field,23,24.67333333,1,10,225
E,2,Ecuador,Curaçao,2026-06-21,Hard Rock Stadium,2,30.46,5,225,8
E,2,Germany,Ivory Coast,2026-06-20,Lincoln Financial Field,16,27.72,1,292,10
E,3,Ecuador,Germany,2026-06-27,Mercedes-Benz Stadium,22,30.4,316,225,292
E,3,Curaçao,Ivory Coast,2026-06-27,MetLife Stadium,22,26.36,4,8,10
F,1,Netherlands,Japan,2026-06-17,Arrowhead Stadium,3,27.52,259,227,155
F,1,Sweden,Tunisia,2026-06-18,AT&T Stadium,18,34.98666667,193,186,479
F,2,Netherlands,Sweden,2026-06-23,Arrowhead Stadium,18,31.74666667,259,227,186
F,2,Tunisia,Japan,2026-06-22,Estadio BBVA,6,27.6,494,479,155
F,3,Japan,Sweden,2026-06-27,NRG Stadium,4,30.98666667,14,155,186
F,3,Tunisia,Netherlands,2026-06-27,Estadio BBVA,4,28.24666667,494,479,227
G,1,Belgium,Egypt,2026-06-12,Lumen Field,7,11.96,10,42,584
G,1,Iran,New Zealand,2026-06-11,SoFi Stadium,5,17.51333333,38,164,66
G,2,New Zealand,Egypt,2026-06-17,Levi's Stadium,6,16.37333333,3,66,584
G,2,Belgium,Iran,2026-06-16,Lumen Field,7,11.46,10,42,164
