group,day,team_1,team_2,date,stadium,hour_utc,apparent_temperature,stad_elevation,camp_elev_t1,camp_elev_t2
A,1,Korea Republic,Czechia,2026-06-11,Estadio BBVA,4,30.80666666666667,494,1644,200
A,1,Mexico,South Africa,2026-06-12,Estadio Azteca,2,17.813333333333333,2251,2231,2365
A,2,Czechia,South Africa,2026-06-16,Estadio Azteca,21,23.12666666666667,2251,200,2365
A,2,Mexico,Korea Republic,2026-06-16,Estadio BBVA,4,28.526666666666664,494,2231,1644
A,3,South Africa,Korea Republic,2026-06-23,Estadio Akron,1,21.673333333333336,1665,2365,1644
A,3,Czechia,Mexico,2026-06-23,Estadio BBVA,1,30.30666666666667,494,200,2231
B,1,Qatar,Switzerland,2026-06-11,Lumen Field,23,18.09333333333333,10,157,66
B,1,Canada,Bosnia and Herzegovina,2026-06-11,BMO Field,19,20.10666666666667,83,0,1350
B,2,Canada,Qatar,2026-06-15,BC Place,21,15.013333333333334,18,0,157
B,2,Switzerland,Bosnia and Herzegovina,2026-06-15,Lumen Field,22,16.206666666666667,10,66,1350
B,3,Switzerland,Canada,2026-06-21,BC Place,20,18.826666666666664,18,66,0
B,3,Bosnia and Herzegovina,Qatar,2026-06-21,Lumen Field,20,20.586666666666662,10,1350,157
C,1,Haiti,Scotland,2026-06-19,Arrowhead Stadium,2,28.766666666666666,259,25,220
C,1,Brazil,Morocco,2026-06-18,Mercedes-Benz Stadium,0,28.55333333333333,316,4,90
C,2,Scotland,Morocco,2026-06-23,AT&T Stadium,0,35.186666666666675,193,220,90
C,2,Brazil,Haiti,2026-06-23,Arrowhead Stadium,2,29.326666666666668,259,4,25
C,3,Morocco,Haiti,2026-06-27,NRG Stadium,0,34.406666666666666,14,90,25
C,3,Scotland,Brazil,2026-06-27,Arrowhead Stadium,0,28.64,259,220,4
D,1,Australia,Türkiye,2026-06-11,Lincoln Financial Field,20,24.24666666666667,1,9,405
D,1,USA,Paraguay,2026-06-11,Mercedes-Benz Stadium,16,28.980000000000008,316,82,22
D,2,Türkiye,Paraguay,2026-06-21,MetLife Stadium,19,28.90666666666667,4,405,22
D,2,USA,Australia,2026-06-21,Lincoln Financial Field,1,25.02,1,82,9
D,3,Paraguay,Australia,2026-06-27,Gillette Stadium,22,24.26,84,22,9
D,3,Türkiye,USA,2026-06-27,Lincoln Financial Field,22,27.92666666666667,1,405,82
E,1,Germany,Curaçao,2026-06-14,AT&T Stadium,2,30.47333333333334,193,292,8
E,1,Ivory Coast,Ecuador,2026-06-14,NRG Stadium,0,34.586666666666666,14,10,225
E,2,Ecuador,Curaçao,2026-06-20,AT&T Stadium,2,34.26,193,225,8
E,2,Germany,Ivory Coast,2026-06-20,NRG Stadium,22,35.74,14,292,10
E,3,Ecuador,Germany,2026-06-24,NRG Stadium,0,34.63333333333333,14,225,292
E,3,Curaçao,Ivory Coast,2026-06-24,Mercedes-Benz Stadium,0,29.89333333333333,316,8,10
F,1,Netherlands,Japan,2026-06-11,MetLife Stadium,23,21.646666666666665,4,227,155
F,1,Sweden,Tunisia,2026-06-11,Gillette Stadium,19,22.42,84,186,479
F,2,Netherlands,Sweden,2026-06-15,Gillette Stadium,19,21.96,84,227,186
F,2,Tunisia,Japan,2026-06-15,MetLife Stadium,20,23.046666666666667,4,479,155
F,3,Japan,Sweden,2026-06-20,BMO Field,23,24.133333333333333,83,155,186
F,3,Tunisia,Netherlands,2026-06-20,Gillette Stadium,23,24.139999999999997,84,479,227
G,1,Belgium,Egypt,2026-06-11,BC Place,20,15.1,18,42,584
G,1,Iran,New Zealand,2026-06-12,Levi's Stadium,2,19.23333333333333,3,164,66
G,2,New Zealand,Egypt,2026-06-18,BC Place,21,15.953333333333337,18,66,584
G,2,Belgium,Iran,2026-06-18,Lumen Field,19,14.826666666666666,10,42,164
G,3,New Zealand,Belgium,2026-06-24,BC Place,20,19.886666666666663,18,66,42
G,3,Egypt,Iran,2026-06-24,Lumen Field,20,21.026666666666667,10,584,164
H,1,Spain,Cape Verde,2026-06-14,Lincoln Financial Field,21,27.093333333333337,1,270,13
H,1,Saudi Arabia,Uruguay,2026-06-14,BMO Field,19,21.540000000000003,83,233,14
H,2,Spain,Saudi Arabia,2026-06-18,Lincoln Financial Field,20,27.826666666666668,1,270,233
