country,population,trends_interest,wiki_window_views,wiki_baseline_views,wiki_lift,trends_norm,wiki_norm,wiki_window_views_per_capita,combined,combined_per_capita,divergence,trends_rank,wiki_rank
Bosnia and Herzegovina,3.3,17,296727,49965,5.939,0.4473684210526316,1.0,89917.27272727274,0.7236842105263158,0.2192982456140351,0.5526315789473684,7.0,1.0
Curaçao,0.155,38,278891,158048,1.765,1.0,0.29718807880114495,1799296.7741935484,0.6485940394005725,4.18447767355208,-0.702811921198855,1.0,17.0
Ghana,34.0,33,150158,152429,0.985,0.868421052631579,0.16585283717797608,4416.411764705882,0.5171369449047776,0.015209910144258165,-0.7025682154536029,2.0,40.0
Canada,40.0,26,180271,113508,1.588,0.6842105263157895,0.2673850816635797,4506.775,0.47579780398968463,0.011894945099742116,-0.4168254446522098,3.0,29.0
Qatar,3.2,26,91485,62785,1.457,0.6842105263157895,0.24532749621148342,28589.0625,0.46476901126363646,0.14524031601988638,-0.43888303010430607,3.0,35.0
New Zealand,5.2,21,970,554,1.751,0.5526315789473685,0.29483077959252396,186.53846153846152,0.4237311792699462,0.08148676524422042,-0.2578007993548445,6.0,18.0
South Africa,60.0,23,6867,7458,0.921,0.6052631578947368,0.15507661222428018,114.45,0.3801698850595085,0.006336164750991808,-0.4501865456704567,5.0,41.0
United States,340.0,16,365014,206331,1.769,0.42105263157894735,0.2978615928607509,1073.570588235294,0.3594571122198491,0.001057226800646615,-0.12319103871819642,8.0,16.0
Czechia,10.5,6,175084,56663,3.09,0.15789473684210525,0.5202896110456305,16674.666666666668,0.3390921739438679,0.03229449275655885,0.3623948742035253,24.0,2.0
Australia,26.0,14,194640,107467,1.811,0.3684210526315789,0.3049334904866139,7486.153846153846,0.33667727155909644,0.012949125829196016,-0.06348756214496504,9.0,15.0
Sweden,10.5,6,3592,1224,2.935,0.15789473684210525,0.4941909412358983,342.0952380952381,0.3260428390390018,0.031051698956095407,0.33629620439379304,24.0,3.0
England,57.0,12,662871,344572,1.924,0.3157894736842105,0.3239602626704832,11629.315789473685,0.3198748681773469,0.005611839792585034,0.008170788986272715,10.0,11.0
Iraq,43.0,6,185724,66986,2.773,0.15789473684210525,0.46691362182185553,4319.162790697675,0.3124041793319804,0.007265213472836754,0.3090188849797503,24.0,4.0
Scotland,5.5,12,199218,114123,1.746,0.3157894736842105,0.2939888870180165,36221.454545454544,0.3048891803511135,0.055434396427475184,-0.021800586666194,10.0,19.0
Portugal,10.5,9,368687,198416,1.858,0.23684210526315788,0.31284728068698436,35113.04761904762,0.27484469297507114,0.02617568504524487,0.07600517542382648,13.0,12.0
Panama,4.4,10,78344,51860,1.511,0.2631578947368421,0.2544199360161643,17805.454545454544,0.25878891537650317,0.0588156625855689,-0.008737958720677785,12.0,34.0
South Korea,51.0,9,176486,109351,1.614,0.23684210526315788,0.2717629230510187,3460.5098039215686,0.25430251415708827,0.004986323807001731,0.0349208177878608,13.0,28.0
Uruguay,3.4,6,221148,107911,2.049,0.15789473684210525,0.34500757703317053,65043.529411764706,0.25145115693763787,0.07395622262871702,0.18711284019106528,24.0,7.0
Switzerland,8.7,8,123013,71457,1.721,0.21052631578947367,0.289779424145479,14139.425287356324,0.2501528699674763,0.02875320344453751,0.07925310835600535,17.0,22.0
Croatia,4.0,9,184636,118288,1.561,0.23684210526315788,0.2628388617612393,46159.0,0.24984048351219856,0.06246012087804964,0.02599675649808139,13.0,31.0
Turkey,86.0,3,192982,80448,2.399,0.07894736842105263,0.4039400572486951,2243.9767441860463,0.24144371283487387,0.00280748503296365,0.32499268882764243,42.0,5.0
Ecuador,18.5,7,124357,71956,1.728,0.18421052631578946,0.29095807374978955,6722.0,0.23758430003278952,0.012842394596367001,0.10674754743400008,19.0,21.0
Uzbekistan,34.0,7,130218,83647,1.557,0.18421052631578946,0.26216534770163324,3829.9411764705883,0.22318793700871137,0.0065643510884915105,0.07795482138584378,19.0,32.0
Mexico,128.0,6,281977,164837,1.711,0.15789473684210525,0.28809563899646407,2202.9453125,0.22299518791928466,0.0017421499056194114,0.1302009021543588,24.0,23.0
Cape Verde,0.58,7,145691,93878,1.552,0.18421052631578946,0.2613234551271258,251191.37931034484,0.22276699072145761,0.38408101848527176,0.07711292881133633,19.0,33.0
Spain,48.0,4,471585,235657,2.001,0.10526315789473684,0.33692540831789863,9824.6875,0.22109428310631773,0.004606130898048286,0.2316622504231618,39.0,9.0
Germany,84.0,5,414029,226794,1.826,0.13157894736842105,0.3074591682101364,4928.916666666667,0.21951905778927872,0.0026133221165390323,0.17588022084171537,33.0,14.0
Netherlands,17.5,6,285719,171495,1.666,0.15789473684210525,0.2805186058258966,16326.8,0.21920667133400093,0.012526095504800053,0.12262386898379135,24.0,25.0
Belgium,11.5,6,208857,127059,1.644,0.15789473684210525,0.2768142784980636,18161.478260869564,0.21735450767008443,0.01890039197131169,0.11891954165595836,24.0,26.0
Colombia,52.0,5,160630,92255,1.741,0.13157894736842105,0.293146994443509,3089.0384615384614,0.212362970905965,0.004083903286653173,0.16156804707508796,33.0,20.0
France,67.0,3,501492,244969,2.047,0.07894736842105263,0.3446708200033676,7484.955223880597,0.21180909421221011,0.003161329764361345,0.2657234515823149,42.0,8.0
Saudi Arabia,36.0,8,99621,79306,1.256,0.21052631578947367,0.2114834147162822,2767.25,0.21100486525287793,0.005861246257024387,0.0009570989268085361,17.0,38.0
Brazil,215.0,3,620551,314361,1.974,0.07894736842105263,0.3323791884155582,2886.2837209302324,0.2056632784183054,0.0009565733879921181,0.2534318199945056,42.0,10.0
Norway,5.5,7,184326,138253,1.333,0.18421052631578946,0.2244485603636976,33513.818181818184,0.2043295433397435,0.03715082606177155,0.04023803404790813,19.0,37.0
Paraguay,7.0,5,97893,59814,1.637,0.13157894736842105,0.27563562889375315,13984.714285714286,0.20360728813108708,0.029086755447298156,0.1440566815253321,33.0,27.0
Haiti,11.4,6,122331,84724,1.444,0.15789473684210525,0.2431385755177639,10730.78947368421,0.20051665617993458,0.017589180366660927,0.08524383867565866,24.0,36.0
Austria,9.0,5,107604,68196,1.578,0.13157894736842105,0.26570129651456476,11956.0,0.1986401219414929,0.022071124660165878,0.1341223491461437,33.0,30.0
Argentina,47.0,4,442714,265048,1.67,0.10526315789473684,0.2811921198855026,9419.446808510638,0.1932276388901197,0.004111226359364249,0.17592896199076574,39.0,24.0
Iran,91.0,1,189405,91201,2.077,0.02631578947368421,0.3497221754504125,2081.3736263736264,0.18801898246204835,0.002066142664418114,0.32340638597672833,48.0,6.0
Japan,125.0,2,287198,155689,1.845,0.05263157894736842,0.31065835999326485,2297.584,0.18164496947031664,0.0014531597557625332,0.25802678104589644,47.0,13.0
Jordan,10.0,7,90117,99092,0.909,0.18421052631578946,0.1530560700454622,9011.7,0.16863329818062583,0.016863329818062583,-0.031154456270327258,19.0,42.0
Morocco,37.0,9,229809,405146,0.567,0.23684210526315788,0.09547061794914968,6211.054054054054,0.16615636160615377,0.004490712475841993,-0.1413714873140082,13.0,46.0
Tunisia,12.0,6,78581,98436,0.798,0.15789473684210525,0.13436605489139586,6548.416666666667,0.14613039586675056,0.01217753298889588,-0.023528681950709396,24.0,43.0
